cloudletId;length;FileSize;OutputSize
143;15000;600;20000
144;4800;8000;6000
145;1600;12000;40
146;6000;10;900
147;1600;50;2700
148;500;8000;200
149;45000;50;200
150;15000;8000;10
151;1600;5000;10000
152;2500;50;12500
153;2500;50;10000
154;4800;12000;12500
155;2500;300;900
156;60000;2600;900
157;11000;5000;6000
158;1600;600;10
159;1600;1200;6000
160;20000;8000;2700
161;60000;10;10000
162;1600;600;6000
163;1000;10;10000
164;3500;600;420
165;45000;600;900
166;1000;300;420
167;500;50;420
168;11000;10;12500
169;35000;600;900
170;1600;300;900
171;4800;50;10000
172;2500;50;12500
173;60000;8000;900
174;11000;50;40
175;2500;5000;12500
176;500;100;900
177;6000;100;10
178;1000;1200;10
179;60000;300;40
180;60000;50;20000
181;3500;10;6000
182;60000;5000;12500
183;4800;8000;10
184;3500;2600;12500
185;6000;600;10000
186;1600;5000;12500
187;11000;50;12500
188;500;300;12500
189;1600;5000;200
190;1600;100;2700
191;2500;600;20000
192;60000;100;420
193;15000;2600;10
194;3500;50;900
195;15000;2600;420
196;4800;300;10000
197;1600;1200;420
198;35000;600;200
199;1000;100;20000
200;11000;12000;420
201;1000;1200;2700
202;45000;8000;12500
203;60000;2600;20000
204;2500;12000;420
205;500;300;12500
206;3500;1200;20000
207;11000;100;200
208;11000;5000;420
209;6000;50;10000
210;11000;8000;20000
211;20000;8000;420
212;4800;50;20000
213;6000;2600;20000
214;35000;8000;10000
215;6000;300;20000
216;1600;8000;200
217;60000;10;6000
218;3500;5000;900
219;1000;50;2700
220;35000;2600;10
221;6000;8000;10000
222;3500;12000;10000
223;1000;1200;40
224;11000;300;40
225;60000;8000;12500
226;2500;50;12500
227;11000;12000;20000
228;500;50;200
229;6000;50;2700
230;11000;50;10000
231;45000;600;900
232;35000;8000;420
233;20000;1200;10000
234;1000;5000;20000
235;1000;50;10
236;35000;2600;20000
237;6000;12000;2700
238;20000;600;40
239;20000;50;40
240;2500;1200;200
241;1600;1200;12500
242;60000;2600;10
243;500;600;2700
244;20000;8000;10
245;35000;100;420
246;20000;8000;10000
247;3500;8000;10
248;4800;100;12500
249;11000;8000;20000
250;11000;600;6000
251;11000;300;40
252;20000;5000;20000
253;35000;600;20000
254;11000;300;420
255;11000;600;6000
256;11000;10;900
257;11000;10;2700
258;20000;5000;20000
259;35000;5000;20000
260;1000;2600;20000
261;3500;10;40
262;11000;12000;10
263;35000;8000;6000
264;1000;100;420
265;2500;5000;200
266;500;2600;2700
267;3500;12000;6000
268;20000;10;40
269;1000;2600;420
270;4800;50;420
271;3500;2600;2700
272;20000;1200;6000
273;45000;5000;420
274;3500;300;2700
275;1000;1200;40
276;1000;50;10000
277;45000;10;20000
278;1000;8000;40
279;35000;50;40
280;1600;100;40
281;20000;1200;12500
282;45000;12000;900
283;1600;8000;10
284;500;8000;40
285;15000;50;200
286;4800;300;420
287;500;2600;900
288;2500;10;10
289;60000;5000;10000
290;60000;12000;20000
291;3500;600;6000
292;3500;5000;6000
293;2500;300;20000
294;60000;100;12500
295;45000;2600;2700
296;60000;600;200
297;35000;12000;420
298;15000;100;900
299;11000;8000;40
300;45000;600;2700
301;6000;100;40
302;500;12000;420
303;20000;1200;6000
304;15000;50;200
305;1000;8000;200
306;20000;300;420
307;45000;50;2700
308;45000;10;2700
309;6000;8000;10
310;3500;600;6000
311;6000;12000;12500
312;1000;1200;6000
313;15000;8000;200
314;15000;10;200
315;3500;1200;900
316;6000;12000;10
317;6000;5000;420
318;500;100;200
319;60000;8000;2700
320;45000;600;200
321;6000;600;10000
322;35000;1200;200
323;20000;12000;2700
324;6000;10;20000
325;1000;12000;6000
326;4800;5000;10
327;4800;100;900
328;45000;600;6000
329;15000;8000;12500
330;60000;5000;900
331;11000;1200;40
332;35000;100;200
333;35000;2600;10
334;1600;8000;10
335;1000;2600;420
336;20000;600;12500
337;60000;50;900
338;2500;100;6000
339;45000;2600;900
340;2500;1200;200
341;60000;8000;40
342;1000;12000;10000
343;15000;12000;200
344;4800;2600;6000
345;6000;600;10
346;1000;5000;12500
347;45000;8000;40
348;11000;50;20000
349;2500;1200;200
350;11000;12000;10000
351;60000;1200;10
352;45000;300;2700
353;60000;600;420
354;11000;300;200
355;20000;1200;10
356;60000;5000;200
357;11000;600;200
358;60000;12000;2700
359;11000;600;40
360;6000;12000;420
361;11000;8000;2700
362;3500;12000;40
363;1000;5000;900
364;35000;10;12500
365;2500;100;12500
366;1000;5000;900
367;4800;12000;200
368;3500;100;10
369;1000;12000;20000
370;60000;8000;200
371;11000;12000;6000
372;2500;10;12500
373;1600;1200;20000
374;20000;2600;12500
375;20000;1200;900
376;15000;12000;20000
377;35000;2600;420
378;4800;2600;200
379;3500;2600;40
380;35000;2600;6000
381;35000;300;10
382;1000;5000;10000
383;1600;2600;2700
384;1000;300;10000
385;15000;300;20000
386;2500;5000;40
387;6000;8000;900
388;6000;10;2700
389;45000;12000;20000
390;1600;100;420
391;1600;50;10000
392;4800;10;420
393;45000;8000;10
394;60000;100;900
395;11000;8000;12500
396;3500;10;420
397;20000;1200;6000
398;2500;300;40
399;2500;8000;10000
400;60000;50;2700
401;35000;12000;420
402;1600;2600;40
403;6000;100;420
404;2500;5000;900
405;3500;12000;12500
406;11000;100;20000
407;20000;12000;200
408;1000;1200;420
409;15000;1200;6000
410;20000;600;6000
411;35000;10;10
412;11000;10;12500
413;6000;8000;12500
414;1600;100;40
415;2500;100;200
416;1000;50;900
417;1000;8000;10000
418;45000;8000;10000
419;4800;2600;200
420;3500;12000;200
421;6000;300;10000
422;11000;50;12500
423;3500;100;200
424;1000;2600;900
425;1600;10;420
426;11000;5000;12500
427;1000;100;420
428;20000;8000;10
429;6000;10;10000
430;6000;10;200
431;60000;50;2700
432;1600;5000;12500
433;45000;600;420
434;45000;10;10000
435;500;600;200
436;6000;300;10000
437;15000;12000;2700
438;3500;10;10000
439;35000;10;900
440;11000;5000;10000
441;4800;8000;40
442;15000;8000;6000
443;500;300;12500
444;60000;600;420
445;15000;300;10
446;15000;1200;10
447;15000;5000;900
448;60000;300;20000
449;20000;600;2700
450;45000;1200;900
451;4800;1200;2700
452;1000;50;420
453;45000;2600;420
454;15000;10;20000
455;15000;50;10
456;2500;8000;900
457;500;300;40
458;6000;5000;20000
459;15000;2600;10000
460;4800;8000;200
461;60000;5000;2700
462;20000;12000;420
463;11000;100;12500
464;4800;12000;12500
465;35000;5000;10
466;6000;1200;10
467;6000;2600;10
468;500;10;10000
469;20000;12000;20000
470;35000;600;40
471;35000;2600;900
472;3500;8000;6000
473;2500;10;10000
474;1600;1200;10
475;60000;8000;2700
476;2500;2600;40
477;45000;2600;2700
478;20000;100;20000
479;6000;10;10000
480;15000;5000;900
481;11000;10;10
482;35000;10;6000
483;11000;12000;420
484;6000;10;10000
485;20000;600;420
486;6000;600;10
487;500;8000;12500
488;11000;8000;10
489;1600;50;12500
490;2500;5000;200
491;60000;12000;2700
492;6000;5000;10000
493;500;10;12500
494;20000;12000;420
495;45000;12000;10
496;15000;50;10000
497;500;50;900
498;60000;300;900
499;15000;8000;10000
500;6000;100;10
501;500;100;6000
502;35000;100;2700
503;2500;12000;12500
504;4800;5000;200
505;15000;100;6000
506;35000;50;420
507;2500;8000;420
508;15000;1200;420
509;1000;5000;420
510;4800;8000;20000
511;20000;5000;200
512;500;300;6000
513;35000;8000;900
514;45000;50;2700
515;1600;2600;2700
516;2500;600;2700
517;6000;10;200
518;20000;600;10
519;2500;8000;420
520;500;50;12500
521;1600;8000;12500
522;3500;1200;6000
523;45000;50;2700
524;20000;1200;420
525;35000;300;12500
526;500;50;900
527;500;8000;20000
528;4800;2600;40
529;6000;1200;10
530;1000;100;900
531;6000;50;10
532;35000;300;10
533;60000;2600;20000
534;4800;1200;10000
535;1600;8000;2700
536;4800;2600;900
537;11000;100;10
538;500;8000;40
539;45000;10;2700
540;11000;50;6000
541;1000;8000;200
542;6000;100;40
543;15000;8000;40
544;20000;50;12500
545;500;600;20000
546;3500;100;420
547;60000;12000;200
548;20000;5000;6000
549;11000;12000;12500
550;1000;12000;900
551;2500;5000;900
552;6000;100;20000
553;60000;5000;10000
554;20000;12000;40
555;15000;300;40
556;1000;5000;420
557;20000;300;40
558;1000;1200;10
559;45000;2600;6000
560;6000;12000;40
561;35000;2600;900
562;6000;50;900
563;2500;300;6000
564;45000;12000;12500
565;4800;100;6000
566;500;600;10
567;15000;2600;2700
568;1000;8000;420
569;15000;10;2700
570;11000;8000;10000
571;1600;1200;2700
572;6000;8000;6000
573;20000;50;10
574;3500;600;200
575;1600;8000;200
576;6000;2600;200
577;3500;50;2700
578;3500;12000;200
579;1000;50;6000
580;1000;5000;2700
581;2500;1200;20000
582;6000;2600;10
583;20000;300;900
584;3500;300;900
585;500;5000;420
586;6000;5000;6000
587;500;8000;6000
588;15000;600;2700
589;2500;50;40
590;2500;300;12500
591;500;300;6000
592;2500;12000;200
593;11000;600;12500
594;1600;100;10000
595;2500;600;900
596;1000;8000;10000
597;11000;100;12500
598;6000;600;420
599;500;12000;200
600;20000;1200;10
601;1600;300;12500
602;1000;50;2700
603;15000;12000;10000
604;11000;100;2700
605;2500;10;40
606;500;12000;2700
607;20000;12000;20000
608;15000;10;40
609;45000;2600;10
610;15000;300;10000
611;1600;2600;900
612;35000;5000;20000
613;35000;8000;200
614;35000;300;200
615;500;600;6000
616;4800;300;2700
617;4800;1200;20000
618;2500;600;10000
619;45000;8000;40
620;15000;12000;2700
621;2500;100;20000
622;1600;12000;200
623;11000;12000;200
624;1000;100;12500
625;45000;2600;420
626;3500;1200;2700
627;35000;600;10000
628;1000;12000;420
629;45000;600;10000
630;35000;10;40
631;4800;1200;10000
632;4800;50;900
633;4800;12000;10000
634;1000;2600;10
635;6000;10;200
636;60000;2600;6000
637;500;50;10
638;20000;10;900
639;500;2600;200
640;1000;600;10000
641;35000;100;20000
642;3500;12000;12500
643;20000;2600;2700
644;3500;300;10
645;15000;100;10000
646;6000;50;420
647;1600;2600;40
648;4800;8000;2700
649;2500;8000;420
650;11000;12000;200
651;3500;1200;10
652;60000;10;900
653;3500;12000;12500
654;11000;8000;200
655;4800;5000;200
656;6000;1200;420
657;6000;8000;10000
658;45000;2600;6000
659;500;1200;20000
660;500;10;12500
661;45000;100;10000
662;4800;8000;200
663;3500;1200;6000
664;2500;600;200
665;35000;300;200
666;500;300;10
667;4800;2600;10000
668;15000;2600;40
669;3500;100;40
670;35000;10;900
671;15000;5000;900
672;11000;12000;10000
673;6000;10;900
674;500;12000;10
675;4800;12000;420
676;500;10;10000
677;1600;10;10000
678;35000;12000;900
679;2500;5000;10
680;500;50;10000
681;4800;12000;40
682;4800;5000;10000
683;6000;8000;10
684;4800;1200;20000
685;500;600;12500
686;35000;8000;420
687;15000;8000;10000
688;4800;1200;10
689;45000;100;2700
690;11000;2600;2700
691;35000;300;6000
692;15000;1200;20000
693;6000;1200;12500
694;3500;1200;10000
695;1600;12000;10
696;20000;8000;2700
697;4800;2600;40
698;60000;8000;40
699;60000;2600;10
700;15000;300;10000
701;35000;300;20000
702;2500;50;40
703;2500;600;40
704;3500;5000;6000
705;500;8000;20000
706;1000;1200;420
707;60000;5000;420
708;45000;12000;200
709;1000;2600;900
710;3500;1200;200
711;11000;300;10
712;35000;600;20000
713;20000;1200;420
714;1000;8000;6000
715;1000;10;12500
716;3500;8000;12500
717;6000;1200;10000
718;35000;50;200
719;500;8000;12500
720;20000;50;6000
721;15000;1200;200
722;1000;1200;200
723;4800;50;20000
724;60000;600;12500
725;60000;50;20000
726;500;8000;12500
727;15000;2600;420
728;1600;10;10
729;4800;2600;10
730;6000;10;20000
731;3500;1200;6000
732;3500;12000;12500
733;45000;1200;420
734;15000;8000;900
735;60000;600;10
736;35000;50;200
737;11000;600;900
738;1000;5000;200
739;500;2600;12500
740;4800;5000;420
741;4800;50;6000
742;20000;300;200
743;1600;50;10000
744;60000;600;420
745;6000;100;2700
746;2500;10;10000
747;3500;50;420
748;1600;300;10000
749;4800;8000;200
750;60000;10;900
751;45000;50;20000
752;2500;600;420
753;35000;50;900
754;60000;300;6000
755;11000;600;20000
756;6000;50;40
757;11000;12000;6000
758;20000;12000;12500
759;3500;10;20000
760;1600;100;40
761;4800;8000;6000
762;1000;600;200
763;3500;100;12500
764;45000;100;6000
765;3500;12000;10
766;1600;10;420
767;20000;2600;20000
768;1000;100;10000
769;1600;12000;40
770;2500;1200;10000
771;11000;300;12500
772;1600;8000;10000
773;4800;12000;900
774;2500;10;20000
775;35000;100;10000
776;2500;600;12500
777;6000;8000;200
778;1000;50;200
779;20000;100;12500
780;35000;600;2700
781;3500;100;420
782;4800;100;10
783;6000;5000;10
784;3500;12000;900
785;15000;600;10000
786;60000;300;12500
787;1600;50;20000
788;3500;300;2700
789;15000;300;10
790;15000;10;20000
791;45000;12000;40
792;11000;12000;10
793;500;100;2700
794;2500;100;200
795;60000;1200;10000
796;35000;300;200
797;4800;50;2700
798;2500;1200;20000
799;2500;8000;12500
800;6000;50;12500
801;6000;8000;6000
802;3500;8000;6000
803;1600;100;10
804;4800;12000;900
805;4800;300;10
806;3500;10;200
807;3500;50;12500
808;1000;600;10000
809;1600;8000;900
810;20000;5000;10000
811;20000;600;420
812;2500;12000;6000
813;1000;5000;10000
814;3500;100;10
815;60000;5000;6000
816;1000;300;900
817;6000;300;6000
818;20000;12000;10
819;2500;2600;6000
820;4800;8000;10000
821;1600;100;12500
822;35000;10;12500
823;60000;600;200
824;20000;600;420
825;1000;50;6000
826;3500;300;40
827;500;100;6000
828;3500;2600;2700
829;1000;8000;12500
830;1600;2600;6000
831;2500;2600;900
832;11000;5000;900
833;60000;100;40
834;2500;100;20000
835;45000;600;2700
836;60000;10;2700
837;1000;1200;40
838;500;12000;20000
839;500;1200;20000
840;500;12000;200
841;1000;600;2700
842;500;50;900
843;20000;5000;900
844;6000;50;10
845;60000;2600;420
846;2500;2600;420
847;35000;600;200
848;45000;600;40
849;45000;300;2700
850;6000;300;10
851;1600;5000;10
852;1000;100;420
853;11000;600;40
854;1600;12000;900
855;4800;8000;420
856;4800;100;10000
857;2500;10;200
858;1600;600;20000
859;1600;300;2700
860;4800;1200;420
861;20000;600;6000
862;11000;100;10
863;35000;12000;20000
864;6000;1200;420
865;60000;12000;10000
866;500;1200;2700
867;4800;2600;20000
868;60000;300;20000
869;4800;1200;2700
870;4800;5000;900
871;4800;12000;20000
872;4800;100;2700
873;3500;1200;2700
874;1600;100;40
875;1600;300;6000
876;3500;8000;12500
877;15000;50;420
878;3500;12000;20000
879;20000;100;10000
880;1600;300;420
881;60000;1200;12500
882;4800;50;200
883;35000;50;40
884;45000;12000;20000
885;15000;1200;20000
886;35000;12000;12500
887;35000;50;10000
888;15000;100;10000
889;35000;10;12500
890;500;2600;200
891;45000;100;6000
892;45000;100;10
893;500;8000;10
894;60000;50;12500
895;4800;5000;2700
896;15000;8000;12500
897;20000;100;200
898;4800;10;2700
899;11000;2600;10000
900;3500;100;20000
901;500;50;40
902;1600;10;200
903;1000;5000;10000
904;2500;10;20000
905;1000;300;10
906;20000;8000;10
907;45000;50;900
908;11000;2600;10000
909;4800;300;10
910;15000;10;40
911;1000;50;12500
912;500;12000;20000
913;60000;2600;420
914;35000;600;10
915;15000;10;900
916;2500;5000;12500
917;35000;12000;420
918;3500;600;10000
919;45000;50;20000
920;1600;600;200
921;15000;8000;20000
922;2500;300;200
923;45000;5000;900
924;11000;1200;10000
925;11000;600;420
926;11000;8000;10000
927;1000;5000;900
928;11000;100;6000
929;45000;50;900
930;11000;300;420
931;20000;50;12500
932;35000;100;6000
933;35000;1200;6000
934;500;2600;420
935;20000;300;20000
936;60000;100;20000
937;1600;5000;6000
938;20000;50;20000
939;4800;600;40
940;2500;5000;2700
941;2500;600;420
942;1600;5000;900
943;15000;10;200
944;2500;10;900
945;1000;12000;900
946;3500;12000;6000
947;11000;300;40
948;15000;50;200
949;3500;8000;10
950;45000;600;10
951;6000;5000;12500
952;4800;12000;40
953;45000;2600;10000
954;15000;50;2700
955;35000;5000;10000
956;2500;10;10
957;11000;50;6000
958;3500;10;12500
959;500;1200;2700
960;4800;600;20000
961;1000;5000;900
962;35000;10;20000
963;3500;2600;6000
964;1000;50;10000
965;35000;1200;10
966;2500;5000;900
967;35000;10;2700
968;20000;8000;2700
969;45000;50;6000
970;20000;300;6000
971;35000;100;900
972;1600;12000;900
973;6000;600;20000
974;20000;50;10
975;3500;8000;200
976;4800;1200;200
977;6000;5000;420
978;500;2600;10
979;3500;5000;900
980;15000;50;12500
981;4800;100;40
982;35000;1200;6000
983;2500;12000;6000
984;6000;10;900
985;1000;10;2700
986;20000;600;200
987;1600;10;10000
988;4800;50;20000
989;500;50;10000
990;11000;50;900
991;2500;1200;10
992;11000;300;40
993;1600;2600;200
994;4800;10;200
995;60000;1200;6000
996;45000;8000;900
997;1000;300;6000
998;500;12000;2700
999;4800;12000;420
1000;4800;5000;6000
1001;35000;10;6000
1002;4800;600;40
1003;2500;600;40
1004;15000;5000;40
1005;15000;300;10000
1006;6000;5000;200
1007;4800;50;900
1008;45000;2600;900
1009;1600;10;2700
1010;4800;300;12500
1011;4800;10;2700
1012;3500;600;10000
1013;6000;50;40
1014;1600;300;900
1015;15000;8000;20000
1016;60000;10;2700
1017;1600;1200;10000
1018;2500;600;2700
1019;11000;5000;6000
1020;4800;12000;40
1021;2500;600;420
1022;500;8000;10
1023;1000;10;2700
1024;11000;12000;420
1025;35000;300;2700
1026;500;5000;40
1027;1600;100;40
1028;1000;1200;420
1029;4800;5000;40
1030;6000;2600;10000
1031;1000;100;900
1032;1600;1200;420
1033;15000;12000;200
1034;20000;1200;40
1035;1000;2600;40
1036;3500;12000;12500
1037;35000;5000;6000
1038;60000;8000;200
1039;6000;1200;200
1040;11000;600;2700
1041;6000;50;200
1042;45000;8000;6000
1043;500;12000;20000
1044;15000;1200;6000
1045;1000;50;10000
1046;20000;10;40
1047;35000;8000;200
1048;4800;600;6000
1049;6000;1200;420
1050;20000;100;420
1051;1000;50;20000
1052;45000;600;10000
1053;60000;2600;10000
1054;15000;2600;40
1055;4800;1200;2700
1056;2500;12000;200
1057;1000;300;420
1058;1600;1200;900
1059;6000;8000;900
1060;6000;10;200
1061;3500;1200;10
1062;6000;8000;900
1063;3500;1200;900
1064;1600;2600;900
1065;3500;300;12500
1066;6000;10;10
1067;15000;8000;10000
1068;15000;300;10
1069;3500;2600;40
1070;45000;2600;900
1071;1000;2600;20000
1072;4800;5000;2700
1073;45000;100;6000
1074;6000;1200;420
1075;3500;600;40
1076;6000;50;10
1077;11000;10;200
1078;11000;2600;200
1079;20000;300;2700
1080;1000;2600;12500
1081;500;8000;2700
1082;4800;1200;10
1083;4800;600;2700
1084;45000;600;10000
1085;4800;12000;200
1086;60000;5000;10000
1087;4800;8000;900
1088;45000;300;6000
1089;4800;12000;6000
1090;4800;300;40
1091;11000;50;10
1092;2500;100;10000
1093;1000;50;12500
1094;60000;5000;10000
1095;4800;50;420
1096;4800;600;200
1097;2500;50;6000
1098;1600;12000;2700
1099;3500;2600;40
1100;1000;300;20000
1101;1000;600;6000
1102;4800;300;10000
1103;6000;5000;420
1104;2500;5000;12500
1105;1000;600;2700
1106;60000;100;12500
1107;500;10;900
1108;20000;12000;6000
1109;45000;12000;12500
1110;60000;300;6000
1111;4800;8000;40
1112;4800;300;10
1113;15000;5000;420
1114;15000;50;10000
1115;60000;300;420
1116;35000;50;420
1117;11000;5000;420
1118;20000;600;200
1119;11000;5000;200
1120;15000;100;12500
1121;11000;100;900
1122;60000;300;900
1123;4800;2600;20000
1124;35000;12000;6000
1125;15000;1200;6000
1126;35000;300;2700
1127;20000;2600;200
1128;35000;50;2700
1129;15000;8000;420
1130;20000;1200;40
1131;1600;600;10000
1132;3500;50;40
1133;3500;300;6000
1134;35000;100;12500
1135;500;300;20000
1136;6000;5000;10000
1137;1600;1200;10000
1138;1600;600;20000
1139;11000;1200;10
1140;3500;5000;200
1141;1000;1200;12500
1142;15000;50;10000
1143;1600;5000;10
1144;2500;10;40
1145;3500;100;6000
1146;4800;10;12500
1147;4800;1200;40
1148;3500;12000;200
1149;20000;100;6000
1150;3500;100;20000
1151;1000;1200;12500
1152;500;100;40
1153;45000;50;200
1154;20000;300;6000
1155;1600;8000;40
1156;35000;2600;2700
1157;1000;100;420
1158;4800;10;420
1159;60000;2600;10000
1160;15000;100;20000
1161;35000;300;40
1162;35000;10;12500
1163;3500;2600;200
1164;11000;100;10000
1165;500;300;200
1166;500;50;10
1167;1600;10;420
1168;11000;5000;2700
1169;20000;10;2700
1170;60000;600;2700
1171;4800;50;200
1172;3500;8000;900
1173;500;10;20000
1174;1000;50;200
1175;2500;300;200
1176;3500;100;10000
1177;11000;600;200
1178;4800;100;2700
1179;20000;10;10
1180;35000;50;200
1181;500;600;12500
1182;6000;2600;6000
1183;1600;2600;10
1184;60000;50;420
1185;4800;12000;6000
1186;20000;600;2700
1187;35000;50;40
1188;1600;12000;420
1189;11000;8000;420
1190;1600;600;200
1191;15000;100;6000
1192;15000;300;12500
1193;35000;12000;200
1194;4800;600;2700
1195;3500;2600;12500
1196;2500;8000;12500
1197;60000;8000;6000
1198;11000;600;200
1199;11000;600;20000
1200;4800;1200;6000
1201;20000;50;40
1202;6000;100;2700
1203;15000;2600;40
1204;3500;100;12500
1205;11000;12000;10000
1206;500;300;20000
1207;3500;5000;200
1208;15000;600;12500
1209;11000;50;420
1210;6000;5000;200
1211;3500;8000;20000
1212;20000;1200;420
1213;3500;50;200
1214;15000;5000;12500
1215;500;300;6000
1216;15000;600;200
1217;2500;5000;40
1218;500;8000;12500
1219;60000;100;6000
1220;3500;2600;900
1221;1600;10;40
1222;1600;10;20000
1223;15000;300;900
1224;60000;300;900
1225;15000;5000;900
1226;6000;10;20000
1227;2500;8000;2700
1228;1000;2600;10
1229;35000;10;420
1230;6000;1200;40
1231;15000;600;900
1232;20000;8000;420
1233;4800;50;2700
1234;4800;2600;2700
1235;20000;300;10000
1236;6000;600;200
1237;60000;600;2700
1238;4800;1200;2700
1239;15000;12000;6000
1240;4800;8000;40
1241;1000;300;10000
1242;500;600;10000
1243;20000;2600;12500
1244;60000;50;10000
1245;20000;300;20000
1246;11000;5000;20000
1247;20000;10;10000
1248;15000;5000;20000
1249;35000;100;20000
1250;11000;50;10000
1251;6000;12000;420
1252;1600;300;6000
1253;45000;100;200
1254;35000;600;10000
1255;45000;5000;2700
1256;15000;5000;2700
1257;500;600;10000
1258;500;8000;900
1259;6000;100;20000
1260;60000;300;420
1261;1600;12000;420
1262;11000;5000;12500
1263;500;100;10
1264;11000;50;900
1265;4800;2600;10000
1266;4800;600;200
1267;20000;1200;10000
1268;1600;600;10
1269;6000;100;20000
1270;1600;100;10
1271;15000;5000;900
1272;1000;12000;2700
1273;11000;5000;2700
1274;6000;1200;900
1275;1000;2600;12500
1276;20000;1200;10
1277;1600;5000;10
1278;11000;10;900
1279;15000;1200;40
1280;500;1200;420
1281;15000;2600;10
1282;45000;100;20000
1283;35000;300;40
1284;1000;1200;6000
1285;1000;12000;10
1286;35000;10;20000
1287;3500;2600;420
1288;15000;1200;10
1289;6000;5000;6000
1290;1000;8000;12500
1291;35000;50;10
1292;6000;600;900
1293;35000;50;10000
1294;45000;1200;6000
1295;11000;2600;40
1296;20000;2600;200
1297;3500;1200;2700
1298;20000;1200;10
1299;2500;1200;12500
1300;6000;1200;900
1301;11000;1200;40
1302;60000;300;2700
1303;35000;1200;200
1304;35000;10;40
1305;1600;300;40
1306;3500;600;420
1307;60000;300;900
1308;11000;300;40
1309;11000;300;12500
1310;6000;12000;20000
1311;20000;5000;12500
1312;2500;10;900
1313;3500;8000;420
1314;3500;50;200
1315;4800;12000;12500
1316;500;8000;6000
1317;6000;1200;200
1318;6000;1200;6000
1319;4800;50;10000
1320;4800;2600;200
1321;20000;8000;2700
1322;60000;5000;10000
1323;35000;50;6000
1324;500;300;420
1325;2500;5000;420
1326;60000;8000;900
1327;60000;2600;420
1328;4800;5000;900
1329;6000;50;12500
1330;11000;1200;40
1331;60000;8000;6000
1332;4800;100;12500
1333;11000;10;20000
1334;500;2600;12500
1335;60000;100;6000
1336;60000;10;10000
1337;20000;50;10
1338;4800;8000;6000
1339;15000;8000;6000
1340;15000;600;40
1341;6000;2600;40
1342;500;50;40
1343;1000;8000;20000
1344;15000;10;20000
1345;20000;10;200
1346;500;8000;900
1347;35000;12000;900
1348;6000;12000;10
1349;1000;300;200
1350;15000;100;20000
1351;500;10;10000
1352;20000;2600;10000
1353;11000;600;200
1354;35000;300;20000
1355;1000;300;2700
1356;45000;300;420
1357;15000;12000;20000
1358;20000;100;20000
1359;500;8000;12500
1360;500;1200;200
1361;1600;12000;12500
1362;35000;10;10000
1363;60000;10;200
1364;1000;5000;40
1365;1000;50;420
1366;15000;8000;20000
1367;35000;50;420
1368;45000;8000;10000
