algorithm,scenario_name,num_cloudlets,seed,phi_fraction,rho_tightness,makespan_sec,total_energy_j,deadline_miss_rate,avg_tardiness_sec
DBDE,Scenario_100,100,1004,0.6,1.5,36.3742,5461.5560,1.0000,3.6900
I-COA,Scenario_50,50,1000,0.3,1.2,16.2989,2448.5319,1.0000,1.7782
DGWO,Scenario_50,50,1003,0.6,1.5,21.1755,3179.6211,1.0000,2.0848
DGWO,Scenario_50,50,1002,0.3,2.0,17.7449,2663.7970,1.0000,1.2301
DGWO,Scenario_50,50,1002,0.3,1.2,20.7736,3118.5245,1.0000,2.1058
DWOA,Scenario_100,100,1002,0.6,1.5,37.3594,5609.3072,1.0000,3.2727
GO,Scenario_50,50,1000,0.3,1.5,12.1638,1828.0661,1.0000,1.8264
GO,Scenario_50,50,1004,0.6,1.5,22.3644,3359.0044,1.0000,2.2327
DCOA-TS,Scenario_100,100,1004,0.3,1.2,16.4369,2467.6721,1.0000,5.9137
DCOA-TS,Scenario_50,50,1002,0.6,1.2,14.2724,2142.5197,1.0000,6.4220
DWOA,Scenario_50,50,1003,0.3,1.5,20.1473,3024.0347,1.0000,1.4582
FCFS,Scenario_500,500,1002,0.3,1.5,423.2643,63496.0739,1.0000,41.4467
DGWO,Scenario_50,50,1004,0.6,1.2,25.1525,3776.7358,1.0000,2.4145
DBDE,Scenario_50,50,1002,0.6,1.5,15.4133,2315.4258,1.0000,2.2539
GO,Scenario_100,100,1001,0.6,1.2,41.1810,6182.7172,1.0000,4.7876
I-COA,Scenario_100,100,1001,0.3,1.2,70.2629,10544.8163,1.0000,3.2864
GO,Scenario_100,100,1000,0.6,2.0,28.1948,4233.6631,1.0000,3.4353
DCOA-TS,Scenario_50,50,1003,0.6,1.2,12.4036,1862.6492,1.0000,3.8605
DWOA,Scenario_100,100,1000,0.6,2.0,37.2562,5592.5451,1.0000,2.8137
I-COA,Scenario_50,50,1001,0.3,1.2,15.3696,2308.2405,1.0000,1.7879
DGWO,Scenario_50,50,1004,0.6,1.5,18.6562,2802.1618,1.0000,2.3031
DGWO,Scenario_50,50,1003,0.3,2.0,14.9264,2240.5546,1.0000,0.8448
DGWO,Scenario_50,50,1003,0.3,1.2,16.1473,2423.8880,1.0000,1.7860
DWOA,Scenario_50,50,1000,0.6,1.5,25.2663,3793.7541,1.0000,1.9563
DGWO,Scenario_100,100,1001,0.6,2.0,28.9750,4351.9704,1.0000,3.0754
DWOA,Scenario_50,50,1004,0.3,1.5,20.1524,3025.8124,1.0000,1.5753
GO,Scenario_50,50,1001,0.3,1.5,20.2486,3041.5141,1.0000,1.7237
DCOA-TS,Scenario_50,50,1004,0.6,1.2,11.6288,1748.4785,1.0000,5.3529
DBDE,Scenario_50,50,1003,0.6,1.5,16.4412,2470.6862,1.0000,1.9938
GO,Scenario_50,50,1000,0.6,1.2,16.7947,2523.5779,1.0000,2.5130
DCOA-TS,Scenario_500,500,1003,0.6,1.5,65.9906,9902.6150,1.0000,27.4737
I-COA,Scenario_100,100,1000,0.6,1.5,49.0900,7369.7173,1.0000,4.5595
DWOA,Scenario_100,100,1003,0.6,1.5,42.1133,6321.3517,1.0000,3.1900
I-COA,Scenario_50,50,1002,0.3,1.2,20.2525,3042.1542,1.0000,2.0534
DBDE,Scenario_50,50,1000,0.3,1.5,16.2518,2440.6341,1.0000,1.3789
FCFS,Scenario_500,500,1003,0.3,1.5,423.2643,63496.0739,1.0000,45.6480
GO,Scenario_50,50,1000,0.6,1.5,18.2645,2743.4327,1.0000,2.3715
DWOA,Scenario_50,50,1001,0.6,1.5,32.4081,4867.0318,1.0000,2.4628
DGWO,Scenario_50,50,1004,0.3,2.0,20.1370,3023.5360,1.0000,1.0991
DBDE,Scenario_50,50,1004,0.6,1.5,17.7623,2667.9170,1.0000,2.1114
DGWO,Scenario_50,50,1004,0.3,1.2,25.1525,3775.8898,1.0000,2.2783
GO,Scenario_50,50,1002,0.3,1.5,15.5846,2341.4302,1.0000,1.9165
GO,Scenario_100,100,1002,0.6,1.2,77.8745,11688.1346,1.0000,4.3444
GO,Scenario_50,50,1001,0.6,1.2,24.9309,3744.3444,1.0000,2.9958
I-COA,Scenario_100,100,1002,0.3,1.2,46.4993,6980.3619,1.0000,3.9625
GO,Scenario_100,100,1001,0.6,2.0,33.4323,5021.5543,1.0000,3.9257
DBDE,Scenario_50,50,1001,0.3,1.5,13.5611,2036.1035,1.0000,1.5494
DWOA,Scenario_50,50,1002,0.6,1.5,18.9586,2847.6856,1.0000,2.2750
I-COA,Scenario_50,50,1003,0.3,1.2,22.4744,3374.3131,1.0000,2.0488
GO,Scenario_50,50,1001,0.6,1.5,22.9745,3450.8558,1.0000,2.4927
GO,Scenario_50,50,1000,0.3,2.0,11.2839,1694.8638,1.0000,1.2699
GO,Scenario_50,50,1000,0.3,1.2,12.8625,1931.8178,1.0000,1.6743
GO,Scenario_50,50,1003,0.3,1.5,20.2406,3040.4326,1.0000,1.5829
I-COA,Scenario_50,50,1000,0.6,1.5,15.5431,2334.9601,1.0000,2.5299
DGWO,Scenario_100,100,1002,0.6,2.0,43.9400,6596.4198,1.0000,2.7980
FCFS,Scenario_500,500,1004,0.3,1.5,423.2643,63496.0739,1.0000,47.2436
DBDE,Scenario_50,50,1002,0.3,1.5,19.3473,2904.6374,1.0000,1.4563
GO,Scenario_50,50,1002,0.6,1.2,31.0871,4667.7582,1.0000,2.7570
DWOA,Scenario_100,100,1004,0.6,1.5,51.2892,7698.5790,1.0000,3.5880
DWOA,Scenario_50,50,1003,0.6,1.5,10.5292,1581.3433,1.0000,2.1254
DWOA,Scenario_50,50,1001,0.3,1.2,16.0065,2402.6745,1.0000,2.4271
I-COA,Scenario_100,100,1001,0.6,1.5,75.6814,11358.2677,1.0000,4.8546
GO,Scenario_50,50,1002,0.6,1.5,14.5555,2186.7868,1.0000,2.2389
DBDE,Scenario_50,50,1000,0.6,1.2,16.8000,2523.5719,1.0000,2.4658
GO,Scenario_50,50,1001,0.3,2.0,20.2432,3039.8266,1.0000,1.0737
GO,Scenario_50,50,1001,0.3,1.2,25.1463,3776.3716,1.0000,1.9301
DCOA-TS,Scenario_1000,1000,1000,0.3,2.0,112.1318,16825.1159,1.0000,49.2995
GO,Scenario_50,50,1004,0.3,1.5,27.3637,4108.7968,1.0000,1.8918
FCFS,Scenario_50,50,1002,0.3,1.5,67.3257,10104.1122,1.0000,4.0025
DBDE,Scenario_50,50,1003,0.3,1.5,16.0440,2408.9951,1.0000,1.5654
DBDE,Scenario_500,500,1001,0.3,1.2,252.3957,37864.5818,1.0000,8.2482
DBDE,Scenario_500,500,1000,0.3,2.0,447.8043,67176.7913,1.0000,7.1655
FCFS,Scenario_50,50,1003,0.3,1.5,67.3257,10104.1122,1.0000,8.8157
FCFS,Scenario_50,50,1004,0.3,1.5,67.3257,10104.1122,1.0000,10.6937
GO,Scenario_100,100,1003,0.6,1.2,38.2210,5738.0461,1.0000,4.2386
DWOA,Scenario_100,100,1001,0.6,2.0,36.0256,5409.2471,1.0000,3.0012
GO,Scenario_50,50,1003,0.6,1.2,18.3536,2757.1778,1.0000,2.4921
I-COA,Scenario_100,100,1003,0.3,1.2,45.6000,6844.8517,1.0000,3.0554
GO,Scenario_100,100,1002,0.6,2.0,77.3971,11616.0115,1.0000,3.3038
FCFS,Scenario_50,50,1001,0.6,1.2,67.3257,10104.1122,1.0000,8.2513
DWOA,Scenario_50,50,1002,0.3,1.2,39.1555,5876.0195,1.0000,2.2969
FCFS,Scenario_50,50,1002,0.6,1.2,67.3257,10104.1122,1.0000,5.1688
DBDE,Scenario_50,50,1001,0.6,1.2,20.4578,3073.2928,1.0000,2.4842
GO,Scenario_50,50,1004,0.6,1.2,22.4489,3372.0273,1.0000,2.6684
FCFS,Scenario_50,50,1003,0.6,1.2,67.3257,10104.1122,1.0000,8.7026
FCFS,Scenario_50,50,1004,0.6,1.2,67.3257,10104.1122,1.0000,10.4550
GO,Scenario_50,50,1002,0.3,2.0,14.6369,2198.3575,1.0000,1.5693
DBDE,Scenario_50,50,1004,0.3,1.5,16.9105,2539.2785,1.0000,1.7660
GO,Scenario_50,50,1002,0.3,1.2,14.7100,2209.8599,1.0000,2.2012
DBDE,Scenario_100,100,1000,0.6,1.5,30.5167,4582.3079,1.0000,3.1926
DGWO,Scenario_100,100,1003,0.6,2.0,38.2984,5749.9998,1.0000,2.6205
DGWO,Scenario_50,50,1000,0.3,1.5,9.8678,1481.8711,1.0000,1.4748
DBDE,Scenario_50,50,1002,0.6,1.2,20.6769,3105.5282,1.0000,2.6265
DWOA,Scenario_50,50,1003,0.3,1.2,20.1540,3024.8673,1.0000,1.8900
DWOA,Scenario_50,50,1000,0.6,1.2,16.7991,2523.2733,1.0000,2.3869
DCOA-TS,Scenario_500,500,1004,0.6,1.5,77.0783,11565.0207,1.0000,28.2719
I-COA,Scenario_100,100,1002,0.6,1.5,38.4273,5770.7628,1.0000,4.4692
GO,Scenario_50,50,1003,0.3,1.2,20.1360,3024.4494,1.0000,1.7958
GO,Scenario_50,50,1003,0.3,2.0,11.5349,1732.5700,1.0000,1.5234
DGWO,Scenario_50,50,1000,0.6,1.2,19.2468,2890.2786,1.0000,2.3971
I-COA,Scenario_50,50,1000,0.3,1.5,19.3786,2910.6091,1.0000,1.1748
GO,Scenario_500,500,1003,0.3,2.0,324.3700,48663.2325,1.0000,20.1392
GO,Scenario_100,100,1004,0.6,1.2,41.1973,6185.2665,1.0000,4.4007
I-COA,Scenario_500,500,1001,0.3,2.0,233.6400,35052.0038,1.0000,23.8221
DBDE,Scenario_50,50,1003,0.6,1.2,16.6782,2505.1068,1.0000,2.3969
DGWO,Scenario_50,50,1001,0.3,1.5,17.0430,2557.9027,1.0000,1.5904
DWOA,Scenario_50,50,1004,0.3,1.2,25.2018,3783.6328,1.0000,2.0133
I-COA,Scenario_100,100,1004,0.3,1.2,52.5103,7882.1684,1.0000,4.6605
DWOA,Scenario_50,50,1001,0.6,1.2,18.2468,2740.7852,1.0000,2.5207
GO,Scenario_500,500,1002,0.6,1.5,145.1299,21775.3514,1.0000,24.4554
GO,Scenario_100,100,1003,0.6,2.0,68.0414,10212.4606,1.0000,3.1395
DBDE,Scenario_100,100,1001,0.6,1.5,47.2309,7090.4732,1.0000,3.3366
DGWO,Scenario_500,500,1002,0.3,2.0,335.2066,50287.0278,1.0000,12.4754
DGWO,Scenario_500,500,1000,0.6,2.0,472.0657,70817.6887,1.0000,17.8835
GO,Scenario_50,50,1004,0.3,1.2,15.6285,2347.2734,1.0000,2.0843
GO,Scenario_50,50,1004,0.3,2.0,18.4493,2770.3472,1.0000,1.2746
I-COA,Scenario_50,50,1001,0.3,1.5,19.6363,2948.4525,1.0000,1.9901
DBDE,Scenario_50,50,1004,0.6,1.2,17.7652,2668.1208,1.0000,2.4987
DGWO,Scenario_50,50,1001,0.6,1.2,29.3035,4400.1680,1.0000,2.7155
DBDE,Scenario_50,50,1000,0.3,1.2,18.6405,2798.8382,1.0000,1.7422
I-COA,Scenario_100,100,1003,0.6,2.0,51.7014,7761.4103,1.0000,4.1599
DWOA,Scenario_50,50,1002,0.6,1.2,19.6745,2954.2469,1.0000,2.6442
DCOA-TS,Scenario_100,100,1000,0.3,1.5,17.2773,2593.3180,1.0000,6.8010
DGWO,Scenario_50,50,1002,0.3,1.5,20.7673,3117.3685,1.0000,2.0229
DWOA,Scenario_50,50,1000,0.3,1.2,18.7914,2820.3598,1.0000,1.6689
I-COA,Scenario_100,100,1003,0.6,1.5,44.5186,6683.5539,1.0000,4.5947
DBDE,Scenario_50,50,1001,0.3,1.2,21.8259,3276.9262,1.0000,1.7374
DWOA,Scenario_100,100,1000,0.6,1.2,29.2831,4396.9975,1.0000,3.5082
DWOA,Scenario_100,100,1002,0.6,2.0,37.1819,5582.1783,1.0000,2.6441
I-COA,Scenario_50,50,1000,0.6,1.2,19.6531,2952.4735,1.0000,2.7237
DBDE,Scenario_100,100,1002,0.6,1.5,28.1678,4230.0426,1.0000,3.3189
DWOA,Scenario_50,50,1003,0.6,1.2,13.3200,2000.1721,1.0000,2.4629
DCOA-TS,Scenario_100,100,1001,0.3,1.5,16.5415,2483.4191,1.0000,5.8277
GO,Scenario_100,100,1004,0.6,2.0,27.1814,4082.3383,1.0000,3.8129
FCFS,Scenario_100,100,1004,0.3,1.5,103.4914,15529.9205,1.0000,10.4863
I-COA,Scenario_50,50,1002,0.3,1.5,19.0486,2860.9856,1.0000,1.9812
I-COA,Scenario_50,50,1001,0.6,1.2,25.2588,3793.9720,1.0000,3.1063
DWOA,Scenario_50,50,1004,0.6,1.2,15.8054,2374.1534,1.0000,2.4979
GO,Scenario_100,100,1001,0.3,1.5,50.3875,7563.0900,1.0000,2.2505
DCOA-TS,Scenario_100,100,1002,0.3,1.5,16.4475,2468.7344,1.0000,6.7383
I-COA,Scenario_100,100,1004,0.6,2.0,26.2645,3944.2043,1.0000,4.6518
DWOA,Scenario_100,100,1001,0.6,1.2,40.5360,6086.2923,1.0000,3.8403
I-COA,Scenario_100,100,1004,0.6,1.5,26.2645,3944.2043,1.0000,5.2243
GO,Scenario_100,100,1000,0.6,1.5,28.2554,4242.6796,1.0000,3.9617
DCOA-TS,Scenario_100,100,1003,0.3,1.5,15.3124,2299.1694,1.0000,5.9110
DWOA,Scenario_100,100,1003,0.3,1.5,36.8087,5524.6749,1.0000,1.7163
DGWO,Scenario_100,100,1000,0.3,1.5,26.7421,4014.2692,1.0000,1.9695
DCOA-TS,Scenario_100,100,1000,0.6,2.0,18.5003,2776.3605,1.0000,7.0551
DWOA,Scenario_100,100,1003,0.3,1.2,28.6950,4307.8667,1.0000,2.0917
DCOA-TS,Scenario_100,100,1004,0.3,1.5,19.2676,2892.1542,1.0000,6.8713
GO,Scenario_100,100,1002,0.3,1.5,49.5608,7438.6396,1.0000,3.0110
DWOA,Scenario_100,100,1002,0.6,1.2,36.2845,5447.8593,1.0000,3.6790
DCOA-TS,Scenario_1000,1000,1001,0.3,2.0,113.6353,17052.2724,1.0000,49.1422
DWOA,Scenario_100,100,1003,0.6,2.0,42.6500,6402.3974,1.0000,2.5373
DCOA-TS,Scenario_100,100,1001,0.6,2.0,22.8772,3432.7458,1.0000,9.5606
DBDE,Scenario_500,500,1002,0.3,1.2,418.5757,62792.6790,1.0000,9.3460
GO,Scenario_100,100,1001,0.6,1.5,30.7181,4614.2845,1.0000,4.3995
DWOA,Scenario_100,100,1004,0.3,1.5,35.8378,5380.0042,1.0000,2.6372
DBDE,Scenario_500,500,1001,0.3,2.0,240.0173,36007.3024,1.0000,7.2121
I-COA,Scenario_500,500,1002,0.3,1.5,206.3036,30952.5789,1.0000,25.9080
DWOA,Scenario_100,100,1004,0.3,1.2,40.0440,6011.1391,1.0000,2.8846
DGWO,Scenario_100,100,1001,0.3,1.5,23.4946,3526.9560,1.0000,2.0278
DCOA-TS,Scenario_100,100,1002,0.6,2.0,22.0808,3314.1218,1.0000,8.0137
GO,Scenario_100,100,1003,0.3,1.5,37.1771,5580.7402,1.0000,2.8384
DCOA-TS,Scenario_500,500,1000,0.3,1.2,61.4568,9222.5753,1.0000,28.0315
DWOA,Scenario_100,100,1003,0.6,1.2,34.1375,5124.9551,1.0000,3.6287
DCOA-TS,Scenario_100,100,1003,0.6,2.0,22.2511,3339.2372,1.0000,8.7042
DBDE,Scenario_100,100,1000,0.3,1.5,34.0526,5111.0540,1.0000,1.7611
GO,Scenario_100,100,1002,0.6,1.5,96.2971,14450.5865,1.0000,4.1868
GO,Scenario_500,500,1004,0.3,1.5,268.0900,40221.0117,1.0000,20.3056
DBDE,Scenario_100,100,1000,0.3,1.2,27.6918,4156.5800,1.0000,2.2573
DCOA-TS,Scenario_100,100,1004,0.6,2.0,23.1850,3479.2703,1.0000,9.5563
DCOA-TS,Scenario_1000,1000,1001,0.3,1.2,110.7003,16609.8544,1.0000,49.9839
DWOA,Scenario_1000,1000,1003,0.3,1.2,792.4029,118869.1175,1.0000,36.3066
DGWO,Scenario_100,100,1002,0.3,1.5,28.6725,4304.7742,1.0000,2.3521
DWOA,Scenario_100,100,1004,0.6,2.0,38.1947,5734.0015,1.0000,2.9049
DWOA,Scenario_100,100,1004,0.6,1.2,42.5708,6390.2950,1.0000,3.9113
DBDE,Scenario_500,500,1004,0.6,2.0,294.5786,44194.2318,1.0000,14.9562
DBDE,Scenario_100,100,1001,0.3,1.5,42.8970,6437.9612,1.0000,1.8577
GO,Scenario_100,100,1004,0.3,1.5,87.6571,13154.6763,1.0000,3.5257
DGWO,Scenario_500,500,1003,0.3,1.5,355.0529,53264.1368,1.0000,10.9978
GO,Scenario_500,500,1004,0.3,2.0,268.0900,40221.0117,1.0000,19.7284
DBDE,Scenario_100,100,1001,0.3,1.2,44.5910,6692.0463,1.0000,2.1354
DGWO,Scenario_500,500,1000,0.3,1.5,401.4886,60229.3792,1.0000,11.5292
GO,Scenario_100,100,1003,0.6,1.5,89.7257,13466.3261,1.0000,3.8683
GO,Scenario_1000,1000,1000,0.3,1.5,509.0986,76370.5924,1.0000,47.9940
DBDE,Scenario_100,100,1000,0.6,2.0,34.4136,5166.5731,1.0000,2.5801
DBDE,Scenario_100,100,1000,0.6,1.2,43.9208,6592.9756,1.0000,3.4614
DGWO,Scenario_500,500,1003,0.3,2.0,284.1886,42633.5491,1.0000,10.4539
DGWO,Scenario_100,100,1003,0.3,1.5,35.0589,5262.4397,1.0000,1.7687
DBDE,Scenario_100,100,1002,0.3,1.5,26.1433,3925.1665,1.0000,2.1066
DWOA,Scenario_100,100,1000,0.3,1.5,29.9631,4497.5766,1.0000,1.9142
DGWO,Scenario_1000,1000,1004,0.3,2.0,615.9429,92398.4432,1.0000,30.4550
DBDE,Scenario_100,100,1002,0.3,1.2,42.1300,6324.6938,1.0000,2.5922
DCOA-TS,Scenario_500,500,1001,0.3,1.2,61.6609,9252.9977,1.0000,27.9203
GO,Scenario_100,100,1004,0.6,1.5,62.8343,9431.9371,1.0000,4.0625
DGWO,Scenario_500,500,1001,0.6,2.0,249.5473,37438.7329,1.0000,17.9655
DBDE,Scenario_100,100,1001,0.6,2.0,47.6867,7158.9754,1.0000,3.0821
DWOA,Scenario_500,500,1003,0.6,2.0,402.5829,60396.2621,1.0000,19.4735
DBDE,Scenario_100,100,1001,0.6,1.2,34.8525,5233.0160,1.0000,3.7281
DBDE,Scenario_100,100,1003,0.3,1.5,33.4057,5013.6402,1.0000,1.8403
DWOA,Scenario_100,100,1001,0.3,1.5,29.5241,4431.6486,1.0000,1.9309
DBDE,Scenario_100,100,1003,0.3,1.2,26.0355,3908.9780,1.0000,2.1560
DGWO,Scenario_100,100,1004,0.3,1.5,25.2569,3792.0468,1.0000,2.6607
DCOA-TS,Scenario_1000,1000,1002,0.3,2.0,111.0665,16663.4141,1.0000,49.3251
I-COA,Scenario_500,500,1002,0.3,2.0,206.3036,30952.5789,1.0000,25.3430
DBDE,Scenario_500,500,1003,0.3,1.2,293.8029,44075.4547,1.0000,8.1043
DWOA,Scenario_100,100,1000,0.6,1.5,25.6555,3853.5200,1.0000,3.2257
DBDE,Scenario_100,100,1002,0.6,2.0,34.7455,5216.9862,1.0000,2.7919
DBDE,Scenario_100,100,1002,0.6,1.2,43.8022,6575.8644,1.0000,3.5664
FCFS,Scenario_100,100,1003,0.6,1.2,103.4914,15529.9205,1.0000,9.5283
DBDE,Scenario_500,500,1002,0.3,2.0,467.7657,70171.5027,1.0000,8.4914
DBDE,Scenario_100,100,1004,0.3,1.5,29.5814,4441.3855,1.0000,2.5375
FCFS,Scenario_100,100,1004,0.6,1.2,103.4914,15529.9205,1.0000,11.7328
DBDE,Scenario_100,100,1004,0.3,1.2,38.2050,5735.0062,1.0000,2.7535
DCOA-TS,Scenario_50,50,1000,0.3,1.2,8.6059,1293.2862,1.0000,3.0387
DWOA,Scenario_100,100,1002,0.3,1.5,32.8180,4926.6793,1.0000,2.3679
GO,Scenario_100,100,1000,0.3,1.5,39.9442,5995.9643,1.0000,2.5208
GO,Scenario_500,500,1003,0.6,1.5,289.3957,43416.5741,1.0000,24.5205
DBDE,Scenario_100,100,1003,0.6,2.0,46.2390,6941.1205,1.0000,2.6378
DCOA-TS,Scenario_50,50,1001,0.3,1.2,8.8097,1323.7415,1.0000,3.2209
DCOA-TS,Scenario_500,500,1002,0.3,1.2,62.6800,9405.4587,1.0000,29.4377
FCFS,Scenario_500,500,1001,0.3,1.2,423.2643,63496.0739,1.0000,48.3562
DCOA-TS,Scenario_50,50,1002,0.3,1.2,9.9065,1487.6937,1.0000,3.8888
FCFS,Scenario_500,500,1002,0.3,1.2,423.2643,63496.0739,1.0000,41.7856
I-COA,Scenario_500,500,1003,0.3,1.5,234.3055,35152.7933,1.0000,25.4977
DCOA-TS,Scenario_50,50,1003,0.3,1.2,8.3975,1261.4219,1.0000,3.1105
DGWO,Scenario_100,100,1000,0.6,1.2,51.4111,7717.0359,1.0000,3.4783
DCOA-TS,Scenario_1000,1000,1002,0.3,1.2,116.7726,17520.1170,1.0000,50.0136
GO,Scenario_100,100,1002,0.3,1.2,58.2529,8743.5397,1.0000,3.0007
DBDE,Scenario_100,100,1004,0.6,2.0,41.1236,6173.3528,1.0000,3.0548
DCOA-TS,Scenario_50,50,1004,0.3,1.2,9.3364,1402.8101,1.0000,3.4872
FCFS,Scenario_500,500,1003,0.3,1.2,423.2643,63496.0739,1.0000,45.9912
DWOA,Scenario_500,500,1000,0.3,1.5,373.0629,55966.5834,1.0000,13.4594
FCFS,Scenario_500,500,1004,0.3,1.2,423.2643,63496.0739,1.0000,47.5899
DGWO,Scenario_100,100,1001,0.6,1.2,39.2638,5895.1409,1.0000,3.8601
GO,Scenario_100,100,1003,0.3,1.2,50.0824,7516.9448,1.0000,3.2158
DWOA,Scenario_500,500,1000,0.3,2.0,403.1000,60471.7860,1.0000,13.0582
I-COA,Scenario_100,100,1000,0.6,2.0,41.5171,6232.4946,1.0000,4.1322
I-COA,Scenario_500,500,1000,0.6,2.0,175.5277,26334.8615,1.0000,28.1150
DCOA-TS,Scenario_500,500,1003,0.3,1.2,58.2364,8739.8085,1.0000,28.5176
DGWO,Scenario_500,500,1001,0.3,1.5,528.2000,79237.5605,1.0000,11.4688
DGWO,Scenario_100,100,1002,0.6,1.2,37.8021,5675.7545,1.0000,3.8669
GO,Scenario_100,100,1004,0.3,1.2,70.0800,10517.5259,1.0000,3.7454
I-COA,Scenario_100,100,1001,0.6,2.0,55.5757,8342.4088,1.0000,4.1183
DCOA-TS,Scenario_1000,1000,1003,0.3,2.0,113.6488,17052.8870,1.0000,51.2958
DWOA,Scenario_500,500,1004,0.6,2.0,337.1414,50578.9861,1.0000,19.2575
