algorithm,scenario_name,num_cloudlets,seed,population,iterations,episodes,w_energy,w_makespan,w_violation,makespan_sec,makespan_ms,total_energy_j,avg_waiting_sec,avg_waiting_ms,finished_cloudlets,mapping_time_ms,peak_memory_mb,deadline_miss_rate,avg_tardiness_sec,unit_note
I-COA,Scenario_50,50,1006,200,100,0,0.20,0.70,0.10,16.8034,16803.3889,2524.2721,0.8848,884.7829,50,210,0,1.0000,2.1216,ms and sec explicitly named
SJF,Scenario_100,100,1023,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,9.9138,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1016,200,100,0,0.20,0.70,0.10,65.2112,65211.2121,9784.8356,23.7077,23707.6684,500,689,495,1.0000,25.9330,ms and sec explicitly named
PSO-SA,Scenario_50,50,1011,200,100,0,0.20,0.70,0.10,16.3316,16331.6154,2453.2194,1.2709,1270.8995,50,30,241,1.0000,4.4962,ms and sec explicitly named
FCFS,Scenario_500,500,1007,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,0,1.0000,50.3454,ms and sec explicitly named
SJF,Scenario_100,100,1004,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.9335,ms and sec explicitly named
RoundRobin,Scenario_100,100,1024,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,11.3696,ms and sec explicitly named
RoundRobin,Scenario_100,100,1016,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,9.0701,ms and sec explicitly named
PSO-SA,Scenario_100,100,1005,200,100,0,0.20,0.70,0.10,49.1458,49145.8333,7377.4325,4.8833,4883.3037,100,45,0,1.0000,9.9997,ms and sec explicitly named
SJF,Scenario_100,100,1015,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.0893,ms and sec explicitly named
DBDE,Scenario_500,500,1022,200,100,0,0.20,0.70,0.10,355.9729,355972.8571,53404.7667,40.1089,40108.8767,500,995,859,1.0000,16.2506,ms and sec explicitly named
RoundRobin,Scenario_100,100,1017,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,11.4305,ms and sec explicitly named
RoundRobin,Scenario_100,100,1006,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,10.3903,ms and sec explicitly named
PSO-SA,Scenario_50,50,1012,200,100,0,0.20,0.70,0.10,25.3144,25314.4444,3801.7012,1.7580,1757.9559,50,31,296,1.0000,4.1750,ms and sec explicitly named
SJF,Scenario_100,100,1024,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,1,1.0000,8.1162,ms and sec explicitly named
FCFS,Scenario_100,100,1005,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,14.7069,ms and sec explicitly named
DBDE,Scenario_100,100,1020,200,100,0,0.20,0.70,0.10,43.2797,43279.6970,6497.4227,4.9950,4995.0135,100,168,426,1.0000,3.4106,ms and sec explicitly named
SJF,Scenario_100,100,1016,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.8902,ms and sec explicitly named
RoundRobin,Scenario_100,100,1025,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,8.9680,ms and sec explicitly named
PSO-SA,Scenario_100,100,1006,200,100,0,0.20,0.70,0.10,29.3760,29376.0000,4410.3739,4.0870,4086.9906,100,26,254,1.0000,8.0265,ms and sec explicitly named
RoundRobin,Scenario_100,100,1018,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,1,1.0000,9.3951,ms and sec explicitly named
DGWO,Scenario_100,100,1001,200,100,0,0.20,0.70,0.10,30.9838,30983.8462,4652.3570,3.7968,3796.7634,100,273,102,1.0000,3.5080,ms and sec explicitly named
FCFS,Scenario_100,100,1025,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,11.6036,ms and sec explicitly named
I-COA,Scenario_50,50,1007,200,100,0,0.20,0.70,0.10,28.7205,28720.4762,4313.1057,0.9441,944.0646,50,124,993,1.0000,2.8692,ms and sec explicitly named
RoundRobin,Scenario_100,100,1007,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,9.5752,ms and sec explicitly named
SJF,Scenario_100,100,1005,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,9.8847,ms and sec explicitly named
PSO-SA,Scenario_50,50,1013,200,100,0,0.20,0.70,0.10,24.2489,24248.8889,3641.1823,2.0276,2027.5506,50,46,270,1.0000,6.3017,ms and sec explicitly named
RoundRobin,Scenario_100,100,1019,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,1,1.0000,10.6386,ms and sec explicitly named
SJF,Scenario_100,100,1017,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,7.4930,ms and sec explicitly named
DBDE,Scenario_500,500,1012,200,100,0,0.20,0.70,0.10,315.6814,315681.4286,47358.6544,37.9082,37908.1962,500,1161,696,1.0000,15.1185,ms and sec explicitly named
SJF,Scenario_500,500,1026,0,0,0,0.20,0.70,0.10,372.9657,372965.7143,55952.7513,36.5404,36540.3661,500,13,0,1.0000,43.2591,ms and sec explicitly named
FCFS,Scenario_100,100,1006,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,11.8084,ms and sec explicitly named
RoundRobin,Scenario_100,100,1026,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,10.7657,ms and sec explicitly named
SJF,Scenario_100,100,1025,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,1,1.0000,7.9790,ms and sec explicitly named
RoundRobin,Scenario_100,100,1008,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,9.7834,ms and sec explicitly named
RoundRobin,Scenario_100,100,1020,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,1,1.0000,10.5080,ms and sec explicitly named
FCFS,Scenario_100,100,1026,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,11.7261,ms and sec explicitly named
DBDE,Scenario_500,500,1003,200,100,0,0.20,0.70,0.10,301.9000,301900.0000,45291.5025,34.7178,34717.7915,500,1105,329,1.0000,15.1774,ms and sec explicitly named
SJF,Scenario_1000,1000,1011,0,0,0,0.20,0.70,0.10,738.8829,738882.8571,110843.4074,76.0334,76033.4022,1000,1,0,1.0000,81.8928,ms and sec explicitly named
SJF,Scenario_100,100,1018,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.4669,ms and sec explicitly named
PSO-SA,Scenario_50,50,1014,200,100,0,0.20,0.70,0.10,21.8454,21845.3846,3280.4225,1.4693,1469.3027,50,30,247,1.0000,4.6590,ms and sec explicitly named
SJF,Scenario_100,100,1006,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,9.2456,ms and sec explicitly named
RoundRobin,Scenario_100,100,1021,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,9.0032,ms and sec explicitly named
RoundRobin,Scenario_1000,1000,1011,0,0,0,0.20,0.70,0.10,691.1100,691110.0000,103673.2732,85.9286,85928.6402,1000,1,0,1.0000,89.9378,ms and sec explicitly named
RoundRobin,Scenario_100,100,1009,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,10.4016,ms and sec explicitly named
DCOA-TS,Scenario_1000,1000,1000,200,100,0,0.20,0.70,0.10,114.4859,114485.8824,17177.8013,46.1546,46154.6331,1000,1278,965,1.0000,50.8556,ms and sec explicitly named
PSO-SA,Scenario_100,100,1007,200,100,0,0.20,0.70,0.10,39.4301,39430.0962,5919.3489,4.5258,4525.7824,100,53,0,1.0000,7.5685,ms and sec explicitly named
FCFS,Scenario_100,100,1007,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,10.3986,ms and sec explicitly named
FCFS,Scenario_500,500,1008,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,2,1.0000,45.6209,ms and sec explicitly named
PSO-SA,Scenario_50,50,1015,200,100,0,0.20,0.70,0.10,19.2150,19215.0000,2885.8923,0.9367,936.6560,50,15,133,1.0000,3.6497,ms and sec explicitly named
FCFS,Scenario_100,100,1027,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,12.1392,ms and sec explicitly named
RoundRobin,Scenario_100,100,1027,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,9.2308,ms and sec explicitly named
I-COA,Scenario_50,50,1008,200,100,0,0.20,0.70,0.10,16.3343,16334.2857,2454.9676,1.0050,1005.0147,50,101,903,1.0000,2.5518,ms and sec explicitly named
SJF,Scenario_100,100,1019,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,9.3366,ms and sec explicitly named
SJF,Scenario_100,100,1026,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,1,1.0000,9.4882,ms and sec explicitly named
PSO-SA,Scenario_1000,1000,1001,200,100,0,0.20,0.70,0.10,560.3171,560317.1429,84054.4363,76.1539,76153.8884,1000,809,430,1.0000,80.4675,ms and sec explicitly named
RoundRobin,Scenario_100,100,1010,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,10.9901,ms and sec explicitly named
RoundRobin,Scenario_1000,1000,1021,0,0,0,0.20,0.70,0.10,691.1100,691110.0000,103673.2732,85.9286,85928.6402,1000,1,1,1.0000,88.3518,ms and sec explicitly named
PSO-SA,Scenario_100,100,1012,200,100,0,0.20,0.70,0.10,41.9962,41996.1538,6304.2969,5.1681,5168.0733,100,27,246,1.0000,8.5124,ms and sec explicitly named
PSO-SA,Scenario_50,50,1016,200,100,0,0.20,0.70,0.10,19.7862,19786.1538,2971.7448,1.2799,1279.9460,50,15,169,1.0000,4.3430,ms and sec explicitly named
DBDE,Scenario_100,100,1021,200,100,0,0.20,0.70,0.10,42.6200,42620.0000,6398.2752,4.3745,4374.5189,100,164,37,1.0000,3.1339,ms and sec explicitly named
SJF,Scenario_100,100,1007,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,2,1.0000,9.0953,ms and sec explicitly named
FCFS,Scenario_100,100,1008,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,1,0,1.0000,10.1521,ms and sec explicitly named
RoundRobin,Scenario_100,100,1028,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,10.0362,ms and sec explicitly named
DWOA,Scenario_500,500,1003,200,100,0,0.20,0.70,0.10,228.9743,228974.2857,34353.6222,27.8637,27863.7085,500,1469,875,1.0000,20.3855,ms and sec explicitly named
SJF,Scenario_100,100,1027,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,1,1.0000,9.3815,ms and sec explicitly named
PSO-SA,Scenario_50,50,1017,200,100,0,0.20,0.70,0.10,18.2056,18205.5700,2733.8652,2.0162,2016.1598,50,45,0,1.0000,5.0979,ms and sec explicitly named
FCFS,Scenario_100,100,1028,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,11.4033,ms and sec explicitly named
SJF,Scenario_100,100,1020,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.0139,ms and sec explicitly named
RoundRobin,Scenario_100,100,1011,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,12.3265,ms and sec explicitly named
PSO-SA,Scenario_500,500,1027,200,100,0,0.20,0.70,0.10,222.1791,222179.0909,33332.3609,36.1444,36144.3867,500,127,1016,1.0000,37.8287,ms and sec explicitly named
FCFS,Scenario_100,100,1009,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,15.1281,ms and sec explicitly named
PSO-SA,Scenario_100,100,1008,200,100,0,0.20,0.70,0.10,37.7477,37747.6923,5666.9237,5.3739,5373.9051,100,74,0,1.0000,8.9412,ms and sec explicitly named
PSO-SA,Scenario_50,50,1018,200,100,0,0.20,0.70,0.10,25.2625,25262.5397,3793.7872,1.3719,1371.8735,50,20,129,1.0000,4.5349,ms and sec explicitly named
SJF,Scenario_100,100,1008,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.4555,ms and sec explicitly named
SJF,Scenario_100,100,1028,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,1,2,1.0000,8.7088,ms and sec explicitly named
SJF,Scenario_100,100,1021,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,9.3896,ms and sec explicitly named
FCFS,Scenario_1000,1000,1022,0,0,0,0.20,0.70,0.10,816.6371,816637.1429,122502.7947,92.9895,92989.4890,1000,1,0,1.0000,96.9711,ms and sec explicitly named
RoundRobin,Scenario_100,100,1029,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,11.3200,ms and sec explicitly named
PSO-SA,Scenario_100,100,1013,200,100,0,0.20,0.70,0.10,35.4738,35473.7500,5325.0164,4.7073,4707.3416,100,79,0,1.0000,9.0116,ms and sec explicitly named
DGWO,Scenario_100,100,1002,200,100,0,0.20,0.70,0.10,22.4462,22446.2045,3371.2809,3.1597,3159.6537,100,257,0,1.0000,3.3388,ms and sec explicitly named
FCFS,Scenario_100,100,1029,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,11.6780,ms and sec explicitly named
SJF,Scenario_500,500,1027,0,0,0,0.20,0.70,0.10,372.9657,372965.7143,55952.7513,36.5404,36540.3661,500,0,2,1.0000,39.3561,ms and sec explicitly named
FCFS,Scenario_1000,1000,1002,0,0,0,0.20,0.70,0.10,816.6371,816637.1429,122502.7947,92.9895,92989.4890,1000,0,0,1.0000,101.7491,ms and sec explicitly named
RoundRobin,Scenario_1000,1000,1001,0,0,0,0.20,0.70,0.10,691.1100,691110.0000,103673.2732,85.9286,85928.6402,1000,1,0,1.0000,84.8232,ms and sec explicitly named
DWOA,Scenario_500,500,1023,200,100,0,0.20,0.70,0.10,355.9343,355934.2857,53399.5197,30.9850,30985.0267,500,1450,546,1.0000,20.4545,ms and sec explicitly named
DTSO-TS,Scenario_500,500,1017,200,100,0,0.20,0.70,0.10,80.9294,80929.4444,12141.8043,27.2166,27216.5615,500,264,926,1.0000,29.0728,ms and sec explicitly named
SJF,Scenario_1000,1000,1001,0,0,0,0.20,0.70,0.10,738.8829,738882.8571,110843.4074,76.0334,76033.4022,1000,9,5,1.0000,80.1867,ms and sec explicitly named
I-COA,Scenario_50,50,1009,200,100,0,0.20,0.70,0.10,17.9254,17925.4167,2692.8852,1.2075,1207.4769,50,156,0,1.0000,2.6875,ms and sec explicitly named
SJF,Scenario_100,100,1009,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,1,1.0000,8.4554,ms and sec explicitly named
PSO-SA,Scenario_50,50,1019,200,100,0,0.20,0.70,0.10,14.0800,14079.9679,2115.3392,1.0681,1068.0953,50,26,187,1.0000,3.8208,ms and sec explicitly named
FCFS,Scenario_500,500,1009,0,0,0,0.20,0.70,0.10,423.2643,423264.2857,63496.0739,45.5058,45505.8081,500,0,2,1.0000,52.2528,ms and sec explicitly named
PSO-SA,Scenario_100,100,1009,200,100,0,0.20,0.70,0.10,26.7632,26763.1944,4017.9952,4.2891,4289.1137,100,45,300,1.0000,7.6386,ms and sec explicitly named
RoundRobin,Scenario_100,100,1000,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,0,1.0000,8.1323,ms and sec explicitly named
FCFS,Scenario_100,100,1010,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,12.1488,ms and sec explicitly named
SJF,Scenario_100,100,1029,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,8.3391,ms and sec explicitly named
PSO-SA,Scenario_50,50,1020,200,100,0,0.20,0.70,0.10,12.5477,12547.6923,1885.2205,1.1068,1106.7851,50,29,209,1.0000,3.9867,ms and sec explicitly named
SJF,Scenario_100,100,1010,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,2,1.0000,9.2667,ms and sec explicitly named
SJF,Scenario_100,100,1000,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,0,1.0000,6.8445,ms and sec explicitly named
FCFS,Scenario_1000,1000,1012,0,0,0,0.20,0.70,0.10,816.6371,816637.1429,122502.7947,92.9895,92989.4890,1000,1,0,1.0000,102.2293,ms and sec explicitly named
DBDE,Scenario_100,100,1022,200,100,0,0.20,0.70,0.10,40.9337,40933.7500,6144.4936,4.7762,4776.1677,100,171,1129,1.0000,3.3482,ms and sec explicitly named
RoundRobin,Scenario_100,100,1001,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,1,1,1.0000,10.0275,ms and sec explicitly named
DWOA,Scenario_50,50,1015,200,100,0,0.20,0.70,0.10,21.6100,21610.0000,3245.1624,1.2874,1287.4033,50,107,750,1.0000,2.2578,ms and sec explicitly named
PSO-SA,Scenario_50,50,1021,200,100,0,0.20,0.70,0.10,22.5977,22597.6923,3393.1532,2.3899,2389.8869,50,28,194,1.0000,5.2236,ms and sec explicitly named
SJF,Scenario_1000,1000,1012,0,0,0,0.20,0.70,0.10,738.8829,738882.8571,110843.4074,76.0334,76033.4022,1000,1,4,1.0000,83.4034,ms and sec explicitly named
DTSO-TS,Scenario_1000,1000,1000,200,100,0,0.20,0.70,0.10,144.4672,144467.2222,21673.2301,48.5529,48552.9344,1000,1507,1231,1.0000,51.3879,ms and sec explicitly named
PSO-SA,Scenario_100,100,1014,200,100,0,0.20,0.70,0.10,35.2685,35268.4615,5295.2911,3.8168,3816.7957,100,65,450,1.0000,6.8326,ms and sec explicitly named
PSO-SA,Scenario_100,100,1010,200,100,0,0.20,0.70,0.10,35.3729,35372.8846,5309.8847,4.8111,4811.0589,100,42,294,1.0000,8.1494,ms and sec explicitly named
SJF,Scenario_100,100,1011,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,1,1.0000,8.5509,ms and sec explicitly named
FCFS,Scenario_100,100,1011,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,12.9095,ms and sec explicitly named
RoundRobin,Scenario_100,100,1002,0,0,0,0.20,0.70,0.10,64.0357,64035.7143,9610.8233,6.0286,6028.5815,100,0,1,1.0000,10.4693,ms and sec explicitly named
I-COA,Scenario_50,50,1010,200,100,0,0.20,0.70,0.10,25.2562,25256.2500,3793.2038,1.2670,1267.0121,50,156,1060,1.0000,2.2463,ms and sec explicitly named
PSO-SA,Scenario_100,100,1000,200,100,0,0.20,0.70,0.10,36.9681,36968.0952,5549.1631,4.6028,4602.8284,100,46,313,1.0000,7.6864,ms and sec explicitly named
PSO-SA,Scenario_50,50,1022,200,100,0,0.20,0.70,0.10,17.8890,17889.0000,2686.8388,1.5337,1533.7357,50,35,218,1.0000,4.6942,ms and sec explicitly named
SJF,Scenario_100,100,1001,0,0,0,0.20,0.70,0.10,92.0486,92048.5714,13813.5655,5.6585,5658.5189,100,0,1,1.0000,9.4758,ms and sec explicitly named
PSO-SA,Scenario_100,100,1011,200,100,0,0.20,0.70,0.10,50.3056,50305.5556,7550.8142,6.3620,6361.9541,100,43,348,1.0000,9.8403,ms and sec explicitly named
FCFS,Scenario_100,100,1012,0,0,0,0.20,0.70,0.10,103.4914,103491.4286,15529.9205,7.9492,7949.2070,100,0,0,1.0000,12.0581,ms and sec explicitly named
GO,Scenario_500,500,1014,200,100,0,0.20,0.70,0.10,250.0786,250078.5714,37519.1290,28.0332,28033.2053,500,1600,580,1.0000,23.3093,ms and sec explicitly named
