algorithm,scenario_name,num_cloudlets,seed,population,iterations,makespan_sec,total_energy_j,avg_waiting_sec,mapping_time_ms
DCOA-TS,Scenario_200,200,1010,50,50,24.9305,3742.2162,8.1901,58
DTSO-TS,Scenario_200,200,1014,100,10,42.9865,6452.3945,8.9207,5
DTSO-TS,Scenario_200,200,1002,500,10,43.5025,6529.6749,8.6332,62
DTSO-TS,Scenario_200,200,1021,10,100,32.4021,4863.1290,9.6391,8
PSO-SA,Scenario_200,200,1017,24,50,106.7471,16017.9668,11.8824,8
PSO-SA,Scenario_200,200,1002,500,20,94.9178,14242.5720,14.3484,44
DTSO-TS,Scenario_200,200,1001,100,100,43.8658,6581.5537,15.0154,46
DTSO-TS,Scenario_200,200,1007,50,50,26.9588,4046.3843,8.5149,10
DTSO-TS,Scenario_200,200,1023,50,10,64.0573,9613.8372,9.7762,2
DTSO-TS,Scenario_200,200,1014,24,10,61.8468,9281.7425,9.4202,6
DTSO-TS,Scenario_200,200,1007,24,50,38.1914,5731.7895,9.0012,11
PSO-SA,Scenario_200,200,1014,24,100,99.6100,14946.6931,13.0397,17
PSO-SA,Scenario_200,200,1024,500,50,76.2829,11447.3641,10.4380,82
DTSO-TS,Scenario_200,200,1019,50,20,55.7038,8361.0509,9.5270,9
DTSO-TS,Scenario_200,200,1002,24,20,44.2954,6648.0782,8.7178,2
DTSO-TS,Scenario_200,200,1028,24,20,42.7244,6413.3529,8.5340,1
DTSO-TS,Scenario_200,200,1024,10,10,63.8825,9586.7699,11.3409,1
DTSO-TS,Scenario_200,200,1000,10,50,31.2711,4694.4791,8.5062,2
PSO-SA,Scenario_200,200,1010,50,50,107.4643,16124.9530,12.8260,6
DTSO-TS,Scenario_200,200,1014,100,50,32.8556,4930.7053,9.6176,20
PSO-SA,Scenario_200,200,1005,24,20,131.6700,19757.0661,13.6769,1
DTSO-TS,Scenario_200,200,1019,24,20,32.1999,4833.5107,8.2832,3
DTSO-TS,Scenario_200,200,1010,10,20,46.4231,6969.0665,8.9847,1
DTSO-TS,Scenario_200,200,1022,100,50,33.0457,4959.5942,9.7440,57
PSO-SA,Scenario_200,200,1028,100,20,62.8394,9430.6246,11.0615,19
DTSO-TS,Scenario_200,200,1022,10,100,29.5646,4437.1553,9.6674,4
DTSO-TS,Scenario_200,200,1015,100,10,41.3517,6207.9265,8.7682,4
DTSO-TS,Scenario_200,200,1007,10,50,39.4256,5916.9238,8.9898,1
DTSO-TS,Scenario_200,200,1017,10,500,66.7382,10011.5209,30.7049,20
DTSO-TS,Scenario_200,200,1026,10,50,45.3989,6814.1800,8.9499,2
DTSO-TS,Scenario_200,200,1018,100,100,54.9247,8240.2967,20.6958,66
DTSO-TS,Scenario_200,200,1001,10,20,44.2862,6646.3262,9.6570,1
PSO-SA,Scenario_200,200,1011,500,20,82.6143,12397.5952,10.4844,158
DTSO-TS,Scenario_200,200,1015,24,10,60.0422,9010.8310,10.8235,1
DTSO-TS,Scenario_200,200,1008,24,50,40.2049,6034.6897,8.7066,4
DTSO-TS,Scenario_200,200,1020,50,20,40.5860,6093.1108,8.4240,4
DTSO-TS,Scenario_200,200,1010,24,20,54.3400,8156.2767,9.1549,2
DTSO-TS,Scenario_200,200,1024,50,10,45.0582,6763.5461,8.6146,3
DCOA-TS,Scenario_200,200,1011,50,50,26.8871,4036.6597,8.4614,21
DTSO-TS,Scenario_200,200,1008,50,50,35.6264,5346.7089,9.5221,9
DTSO-TS,Scenario_200,200,1007,24,500,40.1972,6031.9537,12.9701,81
DTSO-TS,Scenario_200,200,1001,10,50,39.4180,5915.6698,10.0886,2
DTSO-TS,Scenario_200,200,1003,500,10,48.1023,7219.8731,9.1078,22
DTSO-TS,Scenario_200,200,1016,100,10,47.9192,7193.0551,9.0317,5
PSO-SA,Scenario_200,200,1006,24,20,83.8974,12589.3516,12.3429,1
PSO-SA,Scenario_200,200,1019,500,20,64.7566,9717.9521,10.6786,72
DTSO-TS,Scenario_200,200,1023,10,100,45.1524,6775.9566,10.5447,4
PSO-SA,Scenario_200,200,1011,50,50,92.8309,13929.5634,13.2514,7
DTSO-TS,Scenario_200,200,1025,50,10,48.8440,7331.3913,9.2523,3
DTSO-TS,Scenario_200,200,1016,24,10,44.5046,6679.4708,10.0198,1
DTSO-TS,Scenario_200,200,1009,24,50,39.5512,5936.0504,10.5410,6
DTSO-TS,Scenario_200,200,1015,100,50,30.3112,4549.0087,9.1411,23
DTSO-TS,Scenario_200,200,1021,50,20,43.8250,6577.2610,9.3706,4
DTSO-TS,Scenario_200,200,1000,500,20,27.9952,4202.7351,8.4230,196
PSO-SA,Scenario_200,200,1018,10,10,110.0186,16508.5284,12.9147,0
DTSO-TS,Scenario_200,200,1022,24,10,53.6200,8047.8579,9.3665,2
PSO-SA,Scenario_200,200,1028,10,50,105.2236,15788.6246,13.7723,1
PSO-SA,Scenario_200,200,1006,500,10,75.9473,11398.4859,11.9010,157
PSO-SA,Scenario_200,200,1014,10,20,157.2800,23598.4405,17.8002,1
DTSO-TS,Scenario_200,200,1029,24,20,40.3843,6061.7074,9.2767,4
DTSO-TS,Scenario_200,200,1003,24,20,44.8511,6732.2866,9.0221,4
PSO-SA,Scenario_200,200,1012,500,100,82.7914,12424.1946,11.2230,272
DTSO-TS,Scenario_200,200,1009,50,50,26.9476,4044.6131,8.5192,9
DTSO-TS,Scenario_200,200,1008,10,50,40.1878,6032.1895,9.1443,3
DTSO-TS,Scenario_200,200,1002,10,50,55.5877,8341.9563,10.4372,2
DTSO-TS,Scenario_200,200,1011,10,20,38.0308,5708.0621,9.1711,1
PSO-SA,Scenario_200,200,1003,500,20,88.0603,13214.0253,12.1983,29
DTSO-TS,Scenario_200,200,1025,10,10,53.8137,8076.6615,10.3436,0
DTSO-TS,Scenario_200,200,1027,10,50,39.3458,5905.5988,8.9570,5
DTSO-TS,Scenario_200,200,1017,100,10,41.2790,6196.5806,8.5954,4
DCOA-TS,Scenario_200,200,1012,50,50,27.0700,4063.4204,8.6927,21
DTSO-TS,Scenario_200,200,1020,24,20,41.0285,6158.3671,9.2053,2
DTSO-TS,Scenario_200,200,1024,10,100,36.5100,5479.8041,8.7366,4
PSO-SA,Scenario_200,200,1020,500,100,69.7371,10465.3532,11.5147,291
DTSO-TS,Scenario_200,200,1022,50,20,32.8560,4933.1565,7.9651,5
PSO-SA,Scenario_200,200,1018,24,50,100.2073,15036.2320,12.7036,9
PSO-SA,Scenario_200,200,1012,500,20,65.8844,9887.3852,11.1342,28
PSO-SA,Scenario_200,200,1015,24,100,69.8747,10485.3069,12.1050,9
DTSO-TS,Scenario_200,200,1026,50,10,52.1727,7830.7234,8.9452,2
DTSO-TS,Scenario_200,200,1010,24,50,29.3634,4407.2692,9.0783,7
DTSO-TS,Scenario_200,200,1011,24,20,55.6542,8352.4586,10.3947,2
PSO-SA,Scenario_200,200,1007,24,20,128.1557,19229.3326,13.9746,2
DTSO-TS,Scenario_200,200,1017,24,10,55.5153,8331.8544,9.9291,1
PSO-SA,Scenario_200,200,1029,100,20,74.7939,11224.5577,11.3583,10
DTSO-TS,Scenario_200,200,1002,10,20,72.6928,10908.3236,11.7013,2
PSO-SA,Scenario_200,200,1012,50,50,79.7982,11974.7123,11.9371,6
DTSO-TS,Scenario_200,200,1004,500,10,44.3115,6651.6835,9.0008,31
DTSO-TS,Scenario_200,200,1023,100,50,43.2211,6485.6768,10.5047,45
DTSO-TS,Scenario_200,200,1023,24,10,55.2908,8298.4179,9.8869,1
DTSO-TS,Scenario_200,200,1003,10,50,40.5603,6087.8542,9.4154,2
PSO-SA,Scenario_200,200,1025,500,50,69.8902,10488.2399,11.0430,65
DCOA-TS,Scenario_200,200,1015,100,100,31.5820,4739.6471,10.1600,320
DTSO-TS,Scenario_200,200,1010,50,50,34.8964,5237.3742,9.5163,11
DTSO-TS,Scenario_200,200,1018,100,10,40.2400,6040.6728,7.9741,5
DTSO-TS,Scenario_200,200,1016,100,50,39.4830,5925.2207,9.9032,27
PSO-SA,Scenario_200,200,1019,10,10,90.5571,13588.5627,11.9153,0
DTSO-TS,Scenario_200,200,1025,10,100,31.3057,4697.9644,9.8207,5
DTSO-TS,Scenario_200,200,1023,50,20,36.5467,5486.8299,8.2717,4
DTSO-TS,Scenario_200,200,1011,24,50,36.1935,5435.1746,8.5001,5
DTSO-TS,Scenario_200,200,1018,10,500,59.5384,8932.0908,23.8606,40
DTSO-TS,Scenario_200,200,1027,50,10,50.9577,7648.7544,9.2636,3
DCOA-TS,Scenario_200,200,1013,50,50,28.8170,4325.3861,9.3084,24
DTSO-TS,Scenario_200,200,1002,100,100,59.8044,8972.0410,20.0355,72
DTSO-TS,Scenario_200,200,1018,24,10,47.5730,7139.7931,9.3839,1
DTSO-TS,Scenario_200,200,1004,10,50,32.3736,4860.0265,8.1850,2
DTSO-TS,Scenario_200,200,1000,24,50,33.3589,5007.1505,8.5686,6
PSO-SA,Scenario_200,200,1008,24,20,93.6973,14059.3762,14.6629,1
DTSO-TS,Scenario_200,200,1004,24,20,46.9442,7046.0357,9.6946,1
DTSO-TS,Scenario_200,200,1009,10,50,32.3278,4852.0096,9.3277,2
DTSO-TS,Scenario_200,200,1019,100,10,37.8992,5689.1674,8.3018,4
DTSO-TS,Scenario_200,200,1026,10,10,60.6838,9106.7563,10.9910,0
PSO-SA,Scenario_200,200,1013,50,50,134.7445,20217.3451,14.8679,7
DTSO-TS,Scenario_200,200,1011,50,50,33.4295,5016.9250,9.8669,10
DTSO-TS,Scenario_200,200,1012,24,50,34.4250,5167.3259,9.1174,6
DTSO-TS,Scenario_200,200,1021,24,20,33.7289,5064.7644,8.6038,5
DTSO-TS,Scenario_200,200,1028,10,50,32.6404,4899.0840,8.2441,6
DTSO-TS,Scenario_200,200,1012,24,20,53.8427,8081.2915,9.5146,1
DTSO-TS,Scenario_200,200,1012,10,20,45.9589,6897.6916,9.7018,1
DTSO-TS,Scenario_200,200,1026,10,100,37.7426,5664.4383,10.0943,4
DTSO-TS,Scenario_200,200,1019,100,100,50.5738,7587.7395,17.7151,77
DTSO-TS,Scenario_200,200,1024,50,20,33.0464,4960.1457,8.1920,4
PSO-SA,Scenario_200,200,1013,500,20,69.9745,10500.8400,12.4345,31
DTSO-TS,Scenario_200,200,1005,500,10,47.5360,7134.4404,8.5868,26
DTSO-TS,Scenario_200,200,1019,24,10,49.6639,7454.1406,9.7663,1
DTSO-TS,Scenario_200,200,1028,50,10,54.0488,8111.5686,9.9193,2
PSO-SA,Scenario_200,200,1019,24,50,107.8701,16186.0385,12.1296,7
DTSO-TS,Scenario_200,200,1017,100,50,33.6074,5043.2381,10.5085,21
DTSO-TS,Scenario_200,200,1005,10,50,47.5475,7136.1384,9.4326,2
PSO-SA,Scenario_200,200,1004,500,20,81.8033,12275.8985,11.4708,29
PSO-SA,Scenario_200,200,1020,500,20,82.0929,12318.6520,10.7886,30
PSO-SA,Scenario_200,200,1015,10,20,93.6500,14053.0179,11.8674,0
DTSO-TS,Scenario_200,200,1001,24,50,35.6144,5344.5667,9.6522,5
DCOA-TS,Scenario_200,200,1014,50,50,28.5521,4286.0353,8.2296,22
PSO-SA,Scenario_200,200,1007,500,10,74.2305,11139.3292,11.1484,17
DTSO-TS,Scenario_200,200,1012,50,50,35.1726,5278.8578,9.1683,10
DTSO-TS,Scenario_200,200,1020,100,10,52.1850,7831.7890,9.1951,5
DTSO-TS,Scenario_200,200,1013,24,50,37.1050,5569.0050,9.9145,5
DTSO-TS,Scenario_200,200,1019,10,500,63.9327,9591.4903,22.6559,38
DTSO-TS,Scenario_200,200,1025,50,20,38.0220,5708.5193,7.9495,4
PSO-SA,Scenario_200,200,1029,10,50,147.7586,22169.3085,14.6463,1
DTSO-TS,Scenario_200,200,1020,24,10,44.9788,6750.7304,9.3133,1
PSO-SA,Scenario_200,200,1014,50,50,92.1714,13830.8350,12.8229,7
PSO-SA,Scenario_200,200,1000,100,50,72.5771,10891.4819,10.3476,30
DTSO-TS,Scenario_200,200,1029,50,10,66.0969,9919.6875,10.3750,3
DTSO-TS,Scenario_200,200,1003,10,20,61.6256,9248.3733,9.8798,1
PSO-SA,Scenario_200,200,1008,10,10,113.7982,17075.3769,14.1374,1
PSO-SA,Scenario_200,200,1026,500,50,66.4000,9964.9893,10.4080,65
DTSO-TS,Scenario_200,200,1008,24,500,64.5903,9689.6865,28.8020,77
DTSO-TS,Scenario_200,200,1002,24,50,27.1617,4077.1284,8.2313,6
DTSO-TS,Scenario_200,200,1006,500,10,39.9528,5998.3819,8.4947,29
DTSO-TS,Scenario_200,200,1018,100,50,37.8215,5675.4043,10.7322,25
PSO-SA,Scenario_200,200,1020,24,50,86.8555,13033.0204,12.3227,4
DTSO-TS,Scenario_200,200,1021,100,10,48.1677,7229.7540,9.1230,4
PSO-SA,Scenario_200,200,1016,24,100,70.2071,10535.5364,12.0999,6
DTSO-TS,Scenario_200,200,1013,24,20,43.4500,6521.5277,9.4518,7
DTSO-TS,Scenario_200,200,1001,500,20,32.0432,4810.5581,8.8181,119
DCOA-TS,Scenario_200,200,1015,50,50,26.6829,4005.2230,8.9279,23
PSO-SA,Scenario_200,200,1014,500,20,59.9773,9001.6838,9.5792,28
DTSO-TS,Scenario_200,200,1014,24,50,32.9386,4944.2748,8.3370,5
PSO-SA,Scenario_200,200,1029,500,100,69.8714,10485.2026,11.6000,327
DTSO-TS,Scenario_200,200,1013,50,50,33.0198,4955.6560,9.5024,10
DTSO-TS,Scenario_200,200,1026,50,20,37.9604,5698.0284,8.7361,5
DTSO-TS,Scenario_200,200,1027,10,10,64.5049,9680.6492,11.3744,0
DTSO-TS,Scenario_200,200,1000,50,20,33.0557,4962.3034,8.7656,4
PSO-SA,Scenario_200,200,1013,500,100,83.4911,12528.4992,13.2227,131
DTSO-TS,Scenario_200,200,1003,24,50,40.8783,6135.5981,8.1719,4
DCOA-TS,Scenario_200,200,1016,100,100,30.0969,4517.5492,9.4573,99
DTSO-TS,Scenario_200,200,1024,100,50,39.0570,5860.8143,11.2926,39
PSO-SA,Scenario_200,200,1015,50,50,93.3231,14003.4247,13.4931,7
DTSO-TS,Scenario_200,200,1020,10,500,65.6700,9852.1701,20.4948,21
PSO-SA,Scenario_200,200,1009,10,10,98.8757,14836.7279,13.2494,1
DTSO-TS,Scenario_200,200,1024,24,10,69.9275,10494.0594,10.8554,1
DTSO-TS,Scenario_200,200,1010,10,50,37.2143,5585.4379,8.8355,6
DTSO-TS,Scenario_200,200,1013,10,20,35.8537,5383.2709,8.0820,2
DTSO-TS,Scenario_200,200,1005,24,20,45.8830,6886.7749,9.0663,5
PSO-SA,Scenario_200,200,1020,10,10,79.6836,11957.5307,12.1426,0
DTSO-TS,Scenario_200,200,1009,50,20,35.3058,5300.6738,8.0348,4
PSO-SA,Scenario_200,200,1021,500,100,74.7115,11211.2185,12.9109,132
DTSO-TS,Scenario_200,200,1022,100,10,64.7942,9723.2035,11.5359,6
DTSO-TS,Scenario_200,200,1015,24,50,34.5863,5191.1173,9.2559,5
PSO-SA,Scenario_200,200,1021,24,50,96.1173,14423.0575,13.3759,4
DTSO-TS,Scenario_200,200,1019,100,50,32.3406,4852.9766,11.1336,21
DTSO-TS,Scenario_200,200,1014,50,50,28.6275,4296.6459,8.7978,11
PSO-SA,Scenario_200,200,1005,500,20,57.8126,8676.0575,10.4572,29
DTSO-TS,Scenario_200,200,1004,24,50,32.7878,4924.0320,8.0566,5
DTSO-TS,Scenario_200,200,1022,24,20,37.6425,5650.1603,8.4213,6
DTSO-TS,Scenario_200,200,1007,500,10,48.6333,7299.4597,9.2103,26
DCOA-TS,Scenario_200,200,1016,50,50,27.8994,4187.8681,8.6332,21
DTSO-TS,Scenario_200,200,1001,50,20,39.0813,5866.0687,8.0663,3
PSO-SA,Scenario_200,200,1009,24,20,136.8157,20527.8912,13.4011,1
PSO-SA,Scenario_200,200,1008,500,10,60.9367,9145.3782,10.0732,17
DTSO-TS,Scenario_200,200,1004,10,20,51.1300,7674.0901,9.4312,2
PSO-SA,Scenario_200,200,1016,10,20,116.3186,17453.2103,14.3444,1
DTSO-TS,Scenario_200,200,1003,100,100,47.2285,7085.9474,14.5353,96
PSO-SA,Scenario_200,200,1021,500,20,85.2529,12792.7294,12.9113,32
DTSO-TS,Scenario_200,200,1011,10,50,30.8700,4634.2234,8.3312,2
DTSO-TS,Scenario_200,200,1020,100,100,77.1885,11580.1980,24.9140,90
DTSO-TS,Scenario_200,200,1006,24,20,44.1492,6626.3317,9.4676,2
DTSO-TS,Scenario_200,200,1025,24,10,70.0610,10515.7910,9.5298,1
PSO-SA,Scenario_200,200,1000,10,100,133.5314,20036.1903,16.2481,3
DTSO-TS,Scenario_200,200,1014,10,20,57.9838,8702.9145,9.2886,1
DTSO-TS,Scenario_200,200,1029,10,50,32.4334,4868.4314,8.5557,14
DTSO-TS,Scenario_200,200,1014,24,20,43.9850,6602.2008,9.2106,6
DTSO-TS,Scenario_200,200,1010,50,20,45.8219,6877.8884,8.9734,4
DTSO-TS,Scenario_200,200,1027,10,100,35.1995,5282.6315,10.4551,23
PSO-SA,Scenario_200,200,1017,24,100,107.4736,16126.2592,13.7644,7
DTSO-TS,Scenario_200,200,1023,24,20,39.7940,5972.9187,9.0246,3
PSO-SA,Scenario_200,200,1021,10,10,128.1943,19235.5023,14.5941,0
DTSO-TS,Scenario_200,200,1009,24,500,66.6093,10037.7614,31.2774,80
PSO-SA,Scenario_200,200,1016,50,50,88.4418,13271.4620,11.2638,7
DTSO-TS,Scenario_200,200,1025,100,50,42.7803,6419.2165,11.4833,32
DTSO-TS,Scenario_200,200,1005,10,20,62.9742,9450.4262,11.0809,1
PSO-SA,Scenario_200,200,1015,500,20,75.0471,11261.9527,11.6505,30
DTSO-TS,Scenario_200,200,1007,24,20,42.4936,6381.1772,8.8110,2
PSO-SA,Scenario_200,200,1006,500,20,65.5971,9844.7054,12.0190,27
PSO-SA,Scenario_200,200,1010,24,20,100.9217,15143.0503,12.5428,1
DTSO-TS,Scenario_200,200,1012,10,50,44.4531,6671.7838,9.3475,2
PSO-SA,Scenario_200,200,1017,10,20,115.5057,17331.5721,13.2438,0
PSO-SA,Scenario_200,200,1010,10,10,88.8682,13334.9345,13.3351,1
DTSO-TS,Scenario_200,200,1026,24,10,54.2562,8142.9839,9.5210,1
DTSO-TS,Scenario_200,200,1015,10,20,54.8700,8234.2823,10.7675,1
PSO-SA,Scenario_200,200,1009,500,10,59.6411,8951.1736,10.3719,15
DTSO-TS,Scenario_200,200,1028,10,10,69.5661,10440.2319,10.7587,0
DTSO-TS,Scenario_200,200,1021,10,500,65.1272,9769.9761,30.1075,21
DTSO-TS,Scenario_200,200,1027,50,20,34.1212,5122.2373,8.5555,3
DTSO-TS,Scenario_200,200,1023,100,10,40.8969,6138.0638,9.0371,5
DTSO-TS,Scenario_200,200,1028,10,100,33.0813,4964.7255,9.9515,4
DTSO-TS,Scenario_200,200,1016,24,50,41.2385,6189.0917,8.7775,5
DTSO-TS,Scenario_200,200,1024,24,20,47.7525,7167.9413,8.9895,2
PSO-SA,Scenario_200,200,1018,24,100,102.3243,15353.8934,12.2646,6
DTSO-TS,Scenario_200,200,1000,10,100,33.4338,5018.1521,9.4127,5
PSO-SA,Scenario_200,200,1001,10,100,188.6129,28298.3290,18.3552,2
DTSO-TS,Scenario_200,200,1013,10,50,37.3532,5606.9428,8.4024,2
DTSO-TS,Scenario_200,200,1008,24,20,47.4007,7115.0992,8.7460,2
DTSO-TS,Scenario_200,200,1005,24,50,32.7647,4917.5767,8.9161,4
DTSO-TS,Scenario_200,200,1006,10,20,64.9257,9743.2713,10.5987,1
PSO-SA,Scenario_200,200,1022,10,10,92.3700,13860.0142,14.1409,0
PSO-SA,Scenario_200,200,1022,24,50,101.0186,15158.2118,12.9737,3
DTSO-TS,Scenario_200,200,1004,100,100,65.6276,9846.5367,18.0708,41
PSO-SA,Scenario_200,200,1018,10,20,69.9881,10503.1327,10.3386,1
PSO-SA,Scenario_200,200,1022,500,20,123.0700,18466.8191,12.3214,28
DTSO-TS,Scenario_200,200,1002,50,20,41.4171,6217.4333,9.2179,4
PSO-SA,Scenario_200,200,1011,24,20,74.4057,11165.7343,11.8686,1
DTSO-TS,Scenario_200,200,1016,10,20,71.1089,10670.8328,11.1163,1
DTSO-TS,Scenario_200,200,1027,24,10,56.3633,8458.8180,10.3950,1
DTSO-TS,Scenario_200,200,1021,100,100,40.7647,6116.7443,13.5317,43
DTSO-TS,Scenario_200,200,1020,100,50,35.2719,5293.5460,9.6789,27
DCOA-TS,Scenario_200,200,1017,50,50,29.0475,4360.1202,9.6219,30
PSO-SA,Scenario_200,200,1001,100,50,133.2386,19992.6941,11.9741,25
DTSO-TS,Scenario_200,200,1008,500,10,38.6069,5796.3251,8.1965,53
DTSO-TS,Scenario_200,200,1011,50,20,39.3732,5909.8731,8.9470,9
DTSO-TS,Scenario_200,200,1029,10,100,33.4086,5012.9109,11.6004,4
PSO-SA,Scenario_200,200,1027,500,50,61.3373,9205.0502,11.0507,67
DTSO-TS,Scenario_200,200,1025,24,20,42.4736,6375.7768,8.4117,2
DTSO-TS,Scenario_200,200,1010,24,500,66.4093,10063.0995,31.3181,52
DTSO-TS,Scenario_200,200,1024,100,10,50.0689,7515.3057,8.4949,10
PSO-SA,Scenario_200,200,1007,500,20,114.1943,17135.5955,12.4564,28
DTSO-TS,Scenario_200,200,1026,100,50,38.7743,5818.8933,11.1990,37
PSO-SA,Scenario_200,200,1010,500,10,74.6743,11206.3023,11.0345,15
DTSO-TS,Scenario_200,200,1014,10,50,40.3465,6055.7879,9.1124,2
DTSO-TS,Scenario_200,200,1007,10,20,47.4946,7128.1977,9.9698,1
DTSO-TS,Scenario_200,200,1011,24,100,36.7061,5509.0449,9.5255,12
DTSO-TS,Scenario_200,200,1001,10,100,41.3283,6201.6378,12.6037,8
DTSO-TS,Scenario_200,200,1028,50,20,59.4675,8923.9440,9.8771,9
PSO-SA,Scenario_200,200,1002,10,100,60.6089,9094.9576,12.0014,3
PSO-SA,Scenario_200,200,1019,24,100,121.3500,18208.0908,15.1629,6
DTSO-TS,Scenario_200,200,1017,10,20,52.6481,7902.1118,9.4538,1
DTSO-TS,Scenario_200,200,1017,24,50,31.2783,4694.1113,9.0225,11
DTSO-TS,Scenario_200,200,1028,24,10,49.1000,7369.7900,9.3460,1
PSO-SA,Scenario_200,200,1023,10,10,89.5386,13435.2652,12.0783,0
DCOA-TS,Scenario_200,200,1017,100,100,33.1135,4970.3743,10.9650,122
PSO-SA,Scenario_200,200,1011,10,10,94.6674,14205.4111,13.6989,0
PSO-SA,Scenario_200,200,1017,50,50,115.5986,17346.0747,12.4474,8
PSO-SA,Scenario_200,200,1025,24,10,114.8855,17238.6774,13.3255,1
PSO-SA,Scenario_200,200,1019,10,20,138.1557,20729.9589,12.5642,1
DTSO-TS,Scenario_200,200,1022,10,500,60.4826,9073.8071,25.5964,35
PSO-SA,Scenario_200,200,1007,24,10,85.9957,12904.3801,12.4855,1
DTSO-TS,Scenario_200,200,1003,50,20,49.9208,7491.9552,9.3078,5
DTSO-TS,Scenario_200,200,1013,10,10,43.5686,6539.4004,9.4267,1
DTSO-TS,Scenario_200,200,1000,10,500,47.5375,7132.6861,16.3350,19
PSO-SA,Scenario_200,200,1016,500,20,94.4282,14169.8040,12.1547,31
PSO-SA,Scenario_200,200,1023,500,20,72.2109,10836.5919,10.9067,31
DTSO-TS,Scenario_200,200,1008,10,20,50.2891,7547.0074,10.2773,0
PSO-SA,Scenario_200,200,1014,500,100,63.4229,9518.0080,11.3492,130
PSO-SA,Scenario_200,200,1023,24,50,107.6891,16158.6174,13.0735,3
DTSO-TS,Scenario_200,200,1012,50,20,42.8475,6431.6586,9.1178,4
DTSO-TS,Scenario_200,200,1015,24,20,41.6681,6253.9017,9.4792,13
DTSO-TS,Scenario_200,200,1005,100,100,45.0397,6758.0312,14.2823,44
DTSO-TS,Scenario_200,200,1002,10,100,37.9978,5702.4816,9.6561,4
DTSO-TS,Scenario_200,200,1012,24,100,40.3971,6061.9717,11.5704,10
DCOA-TS,Scenario_200,200,1006,500,100,31.5372,4732.6092,10.4780,640
DTSO-TS,Scenario_200,200,1025,100,10,45.0288,6759.3169,9.0945,8
DCOA-TS,Scenario_200,200,1018,50,50,27.0709,4063.3728,8.3240,28
DTSO-TS,Scenario_200,200,1021,100,50,40.1676,6028.1809,10.2056,33
DTSO-TS,Scenario_200,200,1029,24,10,60.4991,9079.1545,10.2197,1
